h3_index,resolution,moku_id,moku_name,island
875d1140dffffff,7,hawaii-puna,Puna,hawaii
875d1148effffff,7,hawaii-puna,Puna,hawaii
875d114e4ffffff,7,hawaii-puna,Puna,hawaii
875d13869ffffff,7,hawaii-puna,Puna,hawaii
875d13940ffffff,7,hawaii-puna,Puna,hawaii
875d1396bffffff,7,hawaii-puna,Puna,hawaii
875d114a5ffffff,7,hawaii-puna,Puna,hawaii
875d114d0ffffff,7,hawaii-puna,Puna,hawaii
875d13b30ffffff,7,hawaii-puna,Puna,hawaii
875d11410ffffff,7,hawaii-puna,Puna,hawaii
875d11491ffffff,7,hawaii-puna,Puna,hawaii
875d11593ffffff,7,hawaii-puna,Puna,hawaii
875d1386cffffff,7,hawaii-puna,Puna,hawaii
875d1396effffff,7,hawaii-puna,Puna,hawaii
875d11452ffffff,7,hawaii-puna,Puna,hawaii
875d114a8ffffff,7,hawaii-puna,Puna,hawaii
875d114d3ffffff,7,hawaii-puna,Puna,hawaii
875d13b33ffffff,7,hawaii-puna,Puna,hawaii
875d11413ffffff,7,hawaii-puna,Puna,hawaii
875d11494ffffff,7,hawaii-puna,Puna,hawaii
875d1142affffff,7,hawaii-puna,Puna,hawaii
875d11455ffffff,7,hawaii-puna,Puna,hawaii
875d11480ffffff,7,hawaii-puna,Puna,hawaii
875d114abffffff,7,hawaii-puna,Puna,hawaii
875d114d6ffffff,7,hawaii-puna,Puna,hawaii
875d11501ffffff,7,hawaii-puna,Puna,hawaii
875d13b36ffffff,7,hawaii-puna,Puna,hawaii
875d11416ffffff,7,hawaii-puna,Puna,hawaii
875d114c2ffffff,7,hawaii-puna,Puna,hawaii
875d11518ffffff,7,hawaii-puna,Puna,hawaii
875d11599ffffff,7,hawaii-puna,Puna,hawaii
875d13949ffffff,7,hawaii-puna,Puna,hawaii
875d13b22ffffff,7,hawaii-puna,Puna,hawaii
875d11402ffffff,7,hawaii-puna,Puna,hawaii
875d11483ffffff,7,hawaii-puna,Puna,hawaii
875d114aeffffff,7,hawaii-puna,Puna,hawaii
875d11419ffffff,7,hawaii-puna,Puna,hawaii
875d11444ffffff,7,hawaii-puna,Puna,hawaii
875d1149affffff,7,hawaii-puna,Puna,hawaii
875d114c5ffffff,7,hawaii-puna,Puna,hawaii
875d114f0ffffff,7,hawaii-puna,Puna,hawaii
875d1151bffffff,7,hawaii-puna,Puna,hawaii
875d1159cffffff,7,hawaii-puna,Puna,hawaii
875d1384affffff,7,hawaii-puna,Puna,hawaii
875d1394cffffff,7,hawaii-puna,Puna,hawaii
875d13b25ffffff,7,hawaii-puna,Puna,hawaii
875d11405ffffff,7,hawaii-puna,Puna,hawaii
875d11430ffffff,7,hawaii-puna,Puna,hawaii
875d11486ffffff,7,hawaii-puna,Puna,hawaii
875d114b1ffffff,7,hawaii-puna,Puna,hawaii
875d11588ffffff,7,hawaii-puna,Puna,hawaii
875d13861ffffff,7,hawaii-puna,Puna,hawaii
875d13963ffffff,7,hawaii-puna,Puna,hawaii
875d1141cffffff,7,hawaii-puna,Puna,hawaii
875d11472ffffff,7,hawaii-puna,Puna,hawaii
875d1149dffffff,7,hawaii-puna,Puna,hawaii
875d114f3ffffff,7,hawaii-puna,Puna,hawaii
875d1384dffffff,7,hawaii-puna,Puna,hawaii
875d11408ffffff,7,hawaii-puna,Puna,hawaii
875d11433ffffff,7,hawaii-puna,Puna,hawaii
875d11489ffffff,7,hawaii-puna,Puna,hawaii
875d114b4ffffff,7,hawaii-puna,Puna,hawaii
875d1158bffffff,7,hawaii-puna,Puna,hawaii
875d13864ffffff,7,hawaii-puna,Puna,hawaii
875d13b14ffffff,7,hawaii-puna,Puna,hawaii
875d114a0ffffff,7,hawaii-puna,Puna,hawaii
875d114f6ffffff,7,hawaii-puna,Puna,hawaii
875d1140bffffff,7,hawaii-puna,Puna,hawaii
875d11436ffffff,7,hawaii-puna,Puna,hawaii
875d1148cffffff,7,hawaii-puna,Puna,hawaii
875d114e2ffffff,7,hawaii-puna,Puna,hawaii
875d1158effffff,7,hawaii-puna,Puna,hawaii
875d13969ffffff,7,hawaii-puna,Puna,hawaii
875d11422ffffff,7,hawaii-puna,Puna,hawaii
875d114a3ffffff,7,hawaii-puna,Puna,hawaii
875d1140effffff,7,hawaii-puna,Puna,hawaii
875d114e5ffffff,7,hawaii-puna,Puna,hawaii
875d11591ffffff,7,hawaii-puna,Puna,hawaii
875d1386affffff,7,hawaii-puna,Puna,hawaii
875d13941ffffff,7,hawaii-puna,Puna,hawaii
875d1396cffffff,7,hawaii-puna,Puna,hawaii
875d11450ffffff,7,hawaii-puna,Puna,hawaii
875d114a6ffffff,7,hawaii-puna,Puna,hawaii
875d114d1ffffff,7,hawaii-puna,Puna,hawaii
875d13b31ffffff,7,hawaii-puna,Puna,hawaii
875d11411ffffff,7,hawaii-puna,Puna,hawaii
875d11492ffffff,7,hawaii-puna,Puna,hawaii
875d1386dffffff,7,hawaii-puna,Puna,hawaii
875d13944ffffff,7,hawaii-puna,Puna,hawaii
875d11428ffffff,7,hawaii-puna,Puna,hawaii
875d11453ffffff,7,hawaii-puna,Puna,hawaii
875d114a9ffffff,7,hawaii-puna,Puna,hawaii
875d114d4ffffff,7,hawaii-puna,Puna,hawaii
875d115abffffff,7,hawaii-puna,Puna,hawaii
875d13b34ffffff,7,hawaii-puna,Puna,hawaii
875d11414ffffff,7,hawaii-puna,Puna,hawaii
875d11495ffffff,7,hawaii-puna,Puna,hawaii
875d114c0ffffff,7,hawaii-puna,Puna,hawaii
875d13845ffffff,7,hawaii-puna,Puna,hawaii
875d13b20ffffff,7,hawaii-puna,Puna,hawaii
875d11400ffffff,7,hawaii-puna,Puna,hawaii
875d1142bffffff,7,hawaii-puna,Puna,hawaii
875d11456ffffff,7,hawaii-puna,Puna,hawaii
875d11481ffffff,7,hawaii-puna,Puna,hawaii
875d114acffffff,7,hawaii-puna,Puna,hawaii
875d11583ffffff,7,hawaii-puna,Puna,hawaii
875d11442ffffff,7,hawaii-puna,Puna,hawaii
875d11498ffffff,7,hawaii-puna,Puna,hawaii
875d114eeffffff,7,hawaii-puna,Puna,hawaii
875d11519ffffff,7,hawaii-puna,Puna,hawaii
875d1159affffff,7,hawaii-puna,Puna,hawaii
875d13848ffffff,7,hawaii-puna,Puna,hawaii
875d1394affffff,7,hawaii-puna,Puna,hawaii
875d13b23ffffff,7,hawaii-puna,Puna,hawaii
875d11403ffffff,7,hawaii-puna,Puna,hawaii
875d1142effffff,7,hawaii-puna,Puna,hawaii
875d11484ffffff,7,hawaii-puna,Puna,hawaii
875d1141affffff,7,hawaii-puna,Puna,hawaii
875d11470ffffff,7,hawaii-puna,Puna,hawaii
875d1149bffffff,7,hawaii-puna,Puna,hawaii
875d114c6ffffff,7,hawaii-puna,Puna,hawaii
875d114f1ffffff,7,hawaii-puna,Puna,hawaii
875d1159dffffff,7,hawaii-puna,Puna,hawaii
875d1384bffffff,7,hawaii-puna,Puna,hawaii
875d1394dffffff,7,hawaii-puna,Puna,hawaii
875d13b26ffffff,7,hawaii-puna,Puna,hawaii
875d11406ffffff,7,hawaii-puna,Puna,hawaii
875d11431ffffff,7,hawaii-puna,Puna,hawaii
875d114b2ffffff,7,hawaii-puna,Puna,hawaii
875d11589ffffff,7,hawaii-puna,Puna,hawaii
875d1141dffffff,7,hawaii-puna,Puna,hawaii
875d11473ffffff,7,hawaii-puna,Puna,hawaii
875d1149effffff,7,hawaii-puna,Puna,hawaii
875d114f4ffffff,7,hawaii-puna,Puna,hawaii
875d1384effffff,7,hawaii-puna,Puna,hawaii
875d11409ffffff,7,hawaii-puna,Puna,hawaii
875d11434ffffff,7,hawaii-puna,Puna,hawaii
875d1148affffff,7,hawaii-puna,Puna,hawaii
875d114b5ffffff,7,hawaii-puna,Puna,hawaii
875d114e0ffffff,7,hawaii-puna,Puna,hawaii
875d1158cffffff,7,hawaii-puna,Puna,hawaii
875d13865ffffff,7,hawaii-puna,Puna,hawaii
875d11420ffffff,7,hawaii-puna,Puna,hawaii
875d11476ffffff,7,hawaii-puna,Puna,hawaii
875d114a1ffffff,7,hawaii-puna,Puna,hawaii
875d1140cffffff,7,hawaii-puna,Puna,hawaii
875d1148dffffff,7,hawaii-puna,Puna,hawaii
875d114e3ffffff,7,hawaii-puna,Puna,hawaii
875d1150effffff,7,hawaii-puna,Puna,hawaii
875d13868ffffff,7,hawaii-puna,Puna,hawaii
875d1396affffff,7,hawaii-puna,Puna,hawaii
875d11423ffffff,7,hawaii-puna,Puna,hawaii
875d114a4ffffff,7,hawaii-puna,Puna,hawaii
875d11490ffffff,7,hawaii-puna,Puna,hawaii
875d114e6ffffff,7,hawaii-puna,Puna,hawaii
875d1386bffffff,7,hawaii-puna,Puna,hawaii
875d1396dffffff,7,hawaii-puna,Puna,hawaii
875d11426ffffff,7,hawaii-puna,Puna,hawaii
875d11451ffffff,7,hawaii-puna,Puna,hawaii
875d114d2ffffff,7,hawaii-puna,Puna,hawaii
875d115a9ffffff,7,hawaii-puna,Puna,hawaii
875d13b32ffffff,7,hawaii-puna,Puna,hawaii
875d11412ffffff,7,hawaii-puna,Puna,hawaii
875d11493ffffff,7,hawaii-puna,Puna,hawaii
875d1386effffff,7,hawaii-puna,Puna,hawaii
875d13945ffffff,7,hawaii-puna,Puna,hawaii
875d11454ffffff,7,hawaii-puna,Puna,hawaii
875d114aaffffff,7,hawaii-puna,Puna,hawaii
875d114d5ffffff,7,hawaii-puna,Puna,hawaii
875d13b35ffffff,7,hawaii-puna,Puna,hawaii
875d11415ffffff,7,hawaii-puna,Puna,hawaii
875d11496ffffff,7,hawaii-puna,Puna,hawaii
875d114ecffffff,7,hawaii-puna,Puna,hawaii
875d11598ffffff,7,hawaii-puna,Puna,hawaii
875d13948ffffff,7,hawaii-puna,Puna,hawaii
875d13b21ffffff,7,hawaii-puna,Puna,hawaii
875d11401ffffff,7,hawaii-puna,Puna,hawaii
875d11482ffffff,7,hawaii-puna,Puna,hawaii
875d114adffffff,7,hawaii-puna,Puna,hawaii
875d11503ffffff,7,hawaii-puna,Puna,hawaii
875d11418ffffff,7,hawaii-puna,Puna,hawaii
875d11499ffffff,7,hawaii-puna,Puna,hawaii
875d114c4ffffff,7,hawaii-puna,Puna,hawaii
875d1151affffff,7,hawaii-puna,Puna,hawaii
875d1159bffffff,7,hawaii-puna,Puna,hawaii
875d13849ffffff,7,hawaii-puna,Puna,hawaii
875d1394bffffff,7,hawaii-puna,Puna,hawaii
875d13b24ffffff,7,hawaii-puna,Puna,hawaii
875d11404ffffff,7,hawaii-puna,Puna,hawaii
875d11485ffffff,7,hawaii-puna,Puna,hawaii
875d114b0ffffff,7,hawaii-puna,Puna,hawaii
875d1141bffffff,7,hawaii-puna,Puna,hawaii
875d11446ffffff,7,hawaii-puna,Puna,hawaii
875d11471ffffff,7,hawaii-puna,Puna,hawaii
875d1149cffffff,7,hawaii-puna,Puna,hawaii
875d114f2ffffff,7,hawaii-puna,Puna,hawaii
875d1151dffffff,7,hawaii-puna,Puna,hawaii
875d1159effffff,7,hawaii-puna,Puna,hawaii
875d1384cffffff,7,hawaii-puna,Puna,hawaii
875d1394effffff,7,hawaii-puna,Puna,hawaii
875d11432ffffff,7,hawaii-puna,Puna,hawaii
875d11488ffffff,7,hawaii-puna,Puna,hawaii
875d114b3ffffff,7,hawaii-puna,Puna,hawaii
875d1158affffff,7,hawaii-puna,Puna,hawaii
875d1141effffff,7,hawaii-puna,Puna,hawaii
875d114f5ffffff,7,hawaii-puna,Puna,hawaii
875d1140affffff,7,hawaii-puna,Puna,hawaii
875d11435ffffff,7,hawaii-puna,Puna,hawaii
875d1148bffffff,7,hawaii-puna,Puna,hawaii
875d114b6ffffff,7,hawaii-puna,Puna,hawaii
875d114e1ffffff,7,hawaii-puna,Puna,hawaii
875d1158dffffff,7,hawaii-puna,Puna,hawaii
875d13968ffffff,7,hawaii-puna,Puna,hawaii
875d114a2ffffff,7,hawaii-puna,Puna,hawaii
875d1449affffff,7,maui-lahaina,Lāhainā,maui
875d14495ffffff,7,maui-lahaina,Lāhainā,maui
875d16b35ffffff,7,maui-lahaina,Lāhainā,maui
875d14490ffffff,7,maui-lahaina,Lāhainā,maui
875d16948ffffff,7,maui-lahaina,Lāhainā,maui
875d16861ffffff,7,maui-lahaina,Lāhainā,maui
875d14498ffffff,7,maui-lahaina,Lāhainā,maui
875d14493ffffff,7,maui-lahaina,Lāhainā,maui
875d1694bffffff,7,maui-lahaina,Lāhainā,maui
875d16869ffffff,7,maui-lahaina,Lāhainā,maui
875d16864ffffff,7,maui-lahaina,Lāhainā,maui
875d1449bffffff,7,maui-lahaina,Lāhainā,maui
875d14496ffffff,7,maui-lahaina,Lāhainā,maui
875d1686cffffff,7,maui-lahaina,Lāhainā,maui
875d14491ffffff,7,maui-lahaina,Lāhainā,maui
875d16949ffffff,7,maui-lahaina,Lāhainā,maui
875d16b31ffffff,7,maui-lahaina,Lāhainā,maui
875d1449effffff,7,maui-lahaina,Lāhainā,maui
875d14494ffffff,7,maui-lahaina,Lāhainā,maui
875d16b22ffffff,7,maui-lahaina,Lāhainā,maui
875d16b34ffffff,7,maui-lahaina,Lāhainā,maui
875d16865ffffff,7,maui-lahaina,Lāhainā,maui
875d1686dffffff,7,maui-lahaina,Lāhainā,maui
875d14492ffffff,7,maui-lahaina,Lāhainā,maui
875d16868ffffff,7,maui-lahaina,Lāhainā,maui
87464959dffffff,7,oahu-koolaupoko,Ko'olaupoko,oahu
874649599ffffff,7,oahu-koolaupoko,Ko'olaupoko,oahu
874649595ffffff,7,oahu-koolaupoko,Ko'olaupoko,oahu
874649585ffffff,7,oahu-koolaupoko,Ko'olaupoko,oahu
874649581ffffff,7,oahu-koolaupoko,Ko'olaupoko,oahu
8746494acffffff,7,oahu-koolaupoko,Ko'olaupoko,oahu
8746494a4ffffff,7,oahu-koolaupoko,Ko'olaupoko,oahu
87464825effffff,7,oahu-koolaupoko,Ko'olaupoko,oahu
8746495b6ffffff,7,oahu-koolaupoko,Ko'olaupoko,oahu
8746495aeffffff,7,oahu-koolaupoko,Ko'olaupoko,oahu
87464958effffff,7,oahu-koolaupoko,Ko'olaupoko,oahu
87464958affffff,7,oahu-koolaupoko,Ko'olaupoko,oahu
874649586ffffff,7,oahu-koolaupoko,Ko'olaupoko,oahu
874649582ffffff,7,oahu-koolaupoko,Ko'olaupoko,oahu
8746494a5ffffff,7,oahu-koolaupoko,Ko'olaupoko,oahu
8746494a1ffffff,7,oahu-koolaupoko,Ko'olaupoko,oahu
8746495b3ffffff,7,oahu-koolaupoko,Ko'olaupoko,oahu
87464958bffffff,7,oahu-koolaupoko,Ko'olaupoko,oahu
874649583ffffff,7,oahu-koolaupoko,Ko'olaupoko,oahu
8746494aeffffff,7,oahu-koolaupoko,Ko'olaupoko,oahu
8746482ecffffff,7,oahu-koolaupoko,Ko'olaupoko,oahu
8746482e8ffffff,7,oahu-koolaupoko,Ko'olaupoko,oahu
8746495b0ffffff,7,oahu-koolaupoko,Ko'olaupoko,oahu
874649412ffffff,7,oahu-koolaupoko,Ko'olaupoko,oahu
874649598ffffff,7,oahu-koolaupoko,Ko'olaupoko,oahu
87464958cffffff,7,oahu-koolaupoko,Ko'olaupoko,oahu
874649588ffffff,7,oahu-koolaupoko,Ko'olaupoko,oahu
874649580ffffff,7,oahu-koolaupoko,Ko'olaupoko,oahu
8746482edffffff,7,oahu-koolaupoko,Ko'olaupoko,oahu
8746482e9ffffff,7,oahu-koolaupoko,Ko'olaupoko,oahu
8746495b1ffffff,7,oahu-koolaupoko,Ko'olaupoko,oahu
874649413ffffff,7,oahu-koolaupoko,Ko'olaupoko,oahu
8746482caffffff,7,oahu-ewa,ʻEwa,oahu
87464b933ffffff,7,oahu-ewa,ʻEwa,oahu
87464b903ffffff,7,oahu-ewa,ʻEwa,oahu
87464b920ffffff,7,oahu-ewa,ʻEwa,oahu
8746482d4ffffff,7,oahu-ewa,ʻEwa,oahu
8746482f1ffffff,7,oahu-ewa,ʻEwa,oahu
87464b925ffffff,7,oahu-ewa,ʻEwa,oahu
8746482d9ffffff,7,oahu-ewa,ʻEwa,oahu
87464b90dffffff,7,oahu-ewa,ʻEwa,oahu
8746482c1ffffff,7,oahu-ewa,ʻEwa,oahu
87464b92affffff,7,oahu-ewa,ʻEwa,oahu
8746482deffffff,7,oahu-ewa,ʻEwa,oahu
87464b964ffffff,7,oahu-ewa,ʻEwa,oahu
87464828cffffff,7,oahu-ewa,ʻEwa,oahu
8746482c6ffffff,7,oahu-ewa,ʻEwa,oahu
8746482e3ffffff,7,oahu-ewa,ʻEwa,oahu
8746482cbffffff,7,oahu-ewa,ʻEwa,oahu
87464b91cffffff,7,oahu-ewa,ʻEwa,oahu
8746482d0ffffff,7,oahu-ewa,ʻEwa,oahu
874649594ffffff,7,oahu-ewa,ʻEwa,oahu
87464b904ffffff,7,oahu-ewa,ʻEwa,oahu
