objectid,docket_no,acres,st_areashape,st_perimetershape
1,DR08-37,3869.23463148,15658237.0181718,47357.8100575668
2,DR09-38,27294.17067655,110455589.89649,182760.207767611
3,DR10-42,678.6738569,2746495.65652891,23163.6561013818
4,DR11-43,1533.2005928,6204642.66581589,17288.8194628178
5,DR11-45,56776.82899484,229767675.061276,92714.4717481092
6,DR12-48,11026.12214989,44621133.236435,59830.1664875513
7,DR13-50,189.79038432,768054.435675809,9255.68151834968
8,DR14-52,2680.927981,10849330.6179215,31683.8757303224
9,DR14-52,6446.22429501,26086944.1885098,28225.6151386823
10,DR14-52,420.76050699,1702757.35999218,12296.6437254785
11,DR17-59,1549.9693051,6272503.23685931,25355.378256701
12,DR16-56,20894.19755723,84555817.5753693,85190.9840004592
13,DR18-61,463.28615083,1874852.53488487,9265.90267373673
14,DR18-64,1235.13730106,4998423.31933529,14862.3838738898
15,DR18-62,762.17683522,3084420.22061307,16630.5500992948
16,DR18-63,230.44136573,932563.120901752,5712.61226154542
17,DR19-66,600.60441566,2430559.83682738,11413.304168751
