objectid,year_record,island,route_id,bmp,emp,route_name,county_id,county_id_t,aadt,aadt_su,aadt_cu,f_system,f_system_t,facility_type,facility_type_t,maint_op,maint_op_t,ownership,ownership_t,through_lanes,urban_id,urban_id_t,st_lengthshape
1,2024,Hawaii,186,0,0.13,Palani Road,1,Hawaii County,8108,112,48,5,Major Collector,2,two way,2,County Highway,2,County Highway,2,99998,Small Urban,209.406594607674
2,2024,Hawaii,186,0.13,0.49,Alii Drive,1,Hawaii County,8108,112,48,5,Major Collector,2,two way,2,County Highway,2,County Highway,2,99998,Small Urban,579.895279879752
3,2024,Hawaii,186,0.49,0.95,Alii Drive,1,Hawaii County,10946,220,35,5,Major Collector,2,two way,2,County Highway,2,County Highway,2,99998,Small Urban,740.977142673016
4,2024,Hawaii,186,0.95,1.38,Alii Drive,1,Hawaii County,9932,103,21,5,Major Collector,2,two way,2,County Highway,2,County Highway,2,99998,Small Urban,692.652602355336
5,2024,Hawaii,186,1.38,4.08,Alii Drive,1,Hawaii County,12871,151,22,5,Major Collector,2,two way,2,County Highway,2,County Highway,2,99998,Small Urban,4349.21417198007
6,2024,Hawaii,186,4.08,6,Alii Drive,1,Hawaii County,8311,79,15,5,Major Collector,2,two way,2,County Highway,2,County Highway,2,99998,Small Urban,3092.77456017116
7,2024,Hawaii,186,6,7.06,Alii Drive,1,Hawaii County,9425,102,28,5,Major Collector,2,two way,2,County Highway,2,County Highway,2,99998,Small Urban,1707.46926919457
8,2024,Hawaii,187,0,0.55,Walua Road,1,Hawaii County,588,7,1,6,Minor Collector,2,two way,2,County Highway,2,County Highway,2,99998,Small Urban,890.471846635719
9,2024,Hawaii,188,0,0.15,Hualalai Road,1,Hawaii County,5777,61,12,5,Major Collector,2,two way,2,County Highway,2,County Highway,2,99998,Small Urban,243.458847596055
10,2024,Hawaii,188,0.15,1.293,Hualalai Road,1,Hawaii County,4416,13,1,5,Major Collector,2,two way,2,County Highway,2,County Highway,2,99998,Small Urban,1855.1566312409
11,2024,Hawaii,1880,0,3.041,Ane Kohokalole Highway,1,Hawaii County,8948,165,34,5,Major Collector,2,two way,2,County Highway,2,County Highway,2,99998,Small Urban,4842.25386529366
12,2024,Hawaii,1880,5.525,5.655,Ane Kohokalole Highway,1,Hawaii County,805,4,0,5,Major Collector,2,two way,2,County Highway,2,County Highway,2,99998,Small Urban,226.732946461353
13,2024,Hawaii,189,0,0.253,Kaleiopapa Road,1,Hawaii County,3243,59,2,6,Minor Collector,2,two way,2,County Highway,2,County Highway,2,99998,Small Urban,412.986460716834
14,2024,Hawaii,19,0,0.08,Kuhio Street,1,Hawaii County,2157,155,20,3,Principal Arterial,2,two way,1,State Highway,1,State Highway,2,99998,,132.213578289505
15,2024,Hawaii,19,0.08,0.69,Kalanianaole Avenue,1,Hawaii County,16320,704,290,3,Principal Arterial,2,two way,1,State Highway,1,State Highway,2,99998,,1008.12835710385
16,2024,Hawaii,19,0.69,0.79,Kalanianaole Avenue,1,Hawaii County,16320,704,290,3,Principal Arterial,2,two way,1,State Highway,1,State Highway,3,99998,,165.266926290058
