h3_index,resolution,moku_id,moku_name,island
885d1149e1fffff,8,hawaii-puna,Puna,hawaii
885d11419dfffff,8,hawaii-puna,Puna,hawaii
885d114335fffff,8,hawaii-puna,Puna,hawaii
885d1158abfffff,8,hawaii-puna,Puna,hawaii
885d114823fffff,8,hawaii-puna,Puna,hawaii
885d114d11fffff,8,hawaii-puna,Puna,hawaii
885d1386cdfffff,8,hawaii-puna,Puna,hawaii
885d1149bbfffff,8,hawaii-puna,Puna,hawaii
885d114b53fffff,8,hawaii-puna,Puna,hawaii
885d13b351fffff,8,hawaii-puna,Puna,hawaii
885d115885fffff,8,hawaii-puna,Puna,hawaii
885d1151d9fffff,8,hawaii-puna,Puna,hawaii
885d1386a7fffff,8,hawaii-puna,Puna,hawaii
885d114995fffff,8,hawaii-puna,Puna,hawaii
885d114151fffff,8,hawaii-puna,Puna,hawaii
885d114b2dfffff,8,hawaii-puna,Puna,hawaii
885d1142e9fffff,8,hawaii-puna,Puna,hawaii
885d13b32bfffff,8,hawaii-puna,Puna,hawaii
885d1384e9fffff,8,hawaii-puna,Puna,hawaii
885d1151b3fffff,8,hawaii-puna,Puna,hawaii
885d138681fffff,8,hawaii-puna,Puna,hawaii
885d13b16dfffff,8,hawaii-puna,Puna,hawaii
885d11412bfffff,8,hawaii-puna,Puna,hawaii
885d114e5dfffff,8,hawaii-puna,Puna,hawaii
885d114b07fffff,8,hawaii-puna,Puna,hawaii
885d13b305fffff,8,hawaii-puna,Puna,hawaii
885d115839fffff,8,hawaii-puna,Puna,hawaii
885d1384c3fffff,8,hawaii-puna,Puna,hawaii
885d1396e3fffff,8,hawaii-puna,Puna,hawaii
885d1159d1fffff,8,hawaii-puna,Puna,hawaii
885d11518dfffff,8,hawaii-puna,Puna,hawaii
885d13865bfffff,8,hawaii-puna,Puna,hawaii
885d114949fffff,8,hawaii-puna,Puna,hawaii
885d114105fffff,8,hawaii-puna,Puna,hawaii
885d114e37fffff,8,hawaii-puna,Puna,hawaii
885d114ae1fffff,8,hawaii-puna,Puna,hawaii
885d115813fffff,8,hawaii-puna,Puna,hawaii
885d13849dfffff,8,hawaii-puna,Puna,hawaii
885d1396bdfffff,8,hawaii-puna,Puna,hawaii
885d1159abfffff,8,hawaii-puna,Puna,hawaii
885d114923fffff,8,hawaii-puna,Puna,hawaii
885d114e11fffff,8,hawaii-puna,Puna,hawaii
885d114abbfffff,8,hawaii-puna,Puna,hawaii
885d114765fffff,8,hawaii-puna,Puna,hawaii
885d139697fffff,8,hawaii-puna,Puna,hawaii
885d115985fffff,8,hawaii-puna,Puna,hawaii
885d1140b9fffff,8,hawaii-puna,Puna,hawaii
885d114a95fffff,8,hawaii-puna,Puna,hawaii
885d1394d9fffff,8,hawaii-puna,Puna,hawaii
885d138451fffff,8,hawaii-puna,Puna,hawaii
885d114c2dfffff,8,hawaii-puna,Puna,hawaii
885d1148d7fffff,8,hawaii-puna,Puna,hawaii
885d114093fffff,8,hawaii-puna,Puna,hawaii
885d1394b3fffff,8,hawaii-puna,Puna,hawaii
885d11422bfffff,8,hawaii-puna,Puna,hawaii
885d13b26dfffff,8,hawaii-puna,Puna,hawaii
885d114f5dfffff,8,hawaii-puna,Puna,hawaii
885d114c07fffff,8,hawaii-puna,Puna,hawaii
885d115939fffff,8,hawaii-puna,Puna,hawaii
885d1148b1fffff,8,hawaii-puna,Puna,hawaii
885d11406dfffff,8,hawaii-puna,Puna,hawaii
885d11455bfffff,8,hawaii-puna,Puna,hawaii
885d114a49fffff,8,hawaii-puna,Puna,hawaii
885d114205fffff,8,hawaii-puna,Puna,hawaii
885d13948dfffff,8,hawaii-puna,Puna,hawaii
885d13b247fffff,8,hawaii-puna,Puna,hawaii
885d114f37fffff,8,hawaii-puna,Puna,hawaii
885d115913fffff,8,hawaii-puna,Puna,hawaii
885d11488bfffff,8,hawaii-puna,Puna,hawaii
885d114047fffff,8,hawaii-puna,Puna,hawaii
885d114535fffff,8,hawaii-puna,Puna,hawaii
885d114a23fffff,8,hawaii-puna,Puna,hawaii
885d13b221fffff,8,hawaii-puna,Puna,hawaii
885d114f11fffff,8,hawaii-puna,Puna,hawaii
885d1158edfffff,8,hawaii-puna,Puna,hawaii
885d114865fffff,8,hawaii-puna,Puna,hawaii
885d114021fffff,8,hawaii-puna,Puna,hawaii
885d114d53fffff,8,hawaii-puna,Puna,hawaii
885d139441fffff,8,hawaii-puna,Puna,hawaii
885d1141b9fffff,8,hawaii-puna,Puna,hawaii
885d114eebfffff,8,hawaii-puna,Puna,hawaii
885d114351fffff,8,hawaii-puna,Puna,hawaii
885d1158c7fffff,8,hawaii-puna,Puna,hawaii
885d114d2dfffff,8,hawaii-puna,Puna,hawaii
885d1386e9fffff,8,hawaii-puna,Puna,hawaii
885d1149d7fffff,8,hawaii-puna,Puna,hawaii
885d13941bfffff,8,hawaii-puna,Puna,hawaii
885d114193fffff,8,hawaii-puna,Puna,hawaii
885d114ec5fffff,8,hawaii-puna,Puna,hawaii
885d11432bfffff,8,hawaii-puna,Puna,hawaii
885d13b36dfffff,8,hawaii-puna,Puna,hawaii
885d1158a1fffff,8,hawaii-puna,Puna,hawaii
