objectid,tract_no,tract_name,rationale,st_areashape,st_perimetershape
1,85.02,Kalaeloa,State Land Use District: Urban,19763930.0599259,26334.5033661543
2,87.03,West Loch,"EZ, State Land Use District: Urban, TOD Area, TEA",2123923.20593723,10394.9032378547
3,59,Mokauea Street,"EZ, State Land Use District: Urban, TOD Area",2140020.13512645,8339.93092604985
4,215.04,Kealakehe,"EZ, State Land Use District: Urban",31244273.8521297,35174.3046714463
5,55,Palama,"EZ, State Land Use District: Urban, TOD Area",215643.289128467,2143.52799467928
6,52,Chinatown,"EZ, State Land Use District: Urban, TOD Area",170475.09265964,1868.34826559956
7,89.14,Honowai School,"EZ, State Land Use District: Urban, TOD Area",550775.622639207,3531.55374213565
8,205,Hilo:  University-Houselots,"EZ, State Land Use District: Urban",6210157.24166776,11811.5571249486
9,204,Hilo:  Villa Franca-Kaiko'o,"EZ, State Land Use District: Urban",2783680.2831753,7951.22188367892
10,203,Hilo: Pu‘u‘eo-Downtown,"EZ, State Land Use District: Urban",3321794.86882341,16150.5320143935
11,206,Hilo: Keaukaha-Pana‘ewa,"EZ, State Land Use District: Urban",48790531.7484031,47322.9790769278
12,216.01,Kailua,"EZ, State Land Use District: Urban; contiguous tract qualification",17686006.5825616,26561.8265335487
13,58,Waiakamilo Road,"EZ, State Land Use District: Urban, TOD Area",509314.555284743,3051.23185989668
14,87.02,St. Joseph School,"EZ, State Land Use District: Urban, TOD Area",1073724.56045639,5853.02572807799
15,53,Aala,"EZ, State Land Use District: Urban, TOD Area",349242.39352447,2456.58769871331
16,80.01,Hale Mohalu Hospital,"EZ, State Land Use District: Urban, TOD Area",1093399.63241473,9353.5585148359
17,75.04,Aloha Stadium,"State Land Use District: Urban, TOD Area",1092802.826494,4364.87702872215
18,57,Iwilei-Anuenue,"EZ, State Land Use District: Urban, TOD Area",4029840.01644847,14517.3179221072
19,80.03,Manana,"EZ, State Land Use District: Urban, TOD Area",1456219.92530347,5022.13807683337
20,406.04,Omao-Kukui'ula,EZ,22364897.1185623,26373.1134620063
21,401.04,Ha'ena-Hanalei,EZ,203292213.04322,85853.6867109708
22,304.04,Hali'imaile,EZ,27426406.0009188,28720.9156175461
23,309.01,West Central Wailuku,"EZ, State Land Use District: Urban",1015951.66898354,5219.67117468472
24,317,East Moloka'i,EZ,318616283.639018,132017.854861133
25,319,Spreckelsville,"EZ,  State Land Use District: Urban; Contiguous tract qualification",65588682.8562976,44921.7246348917
