zone_id,h3_cell,resolution,island,version,data_source,provenance
PRK_1,8846483527fffff,8,oahu,2026.01,State Parks centroid 2026,Centroid res8 from state park objectid 1 polygon
PRK_2,88464822c1fffff,8,oahu,2026.01,State Parks centroid 2026,Centroid res8 from state park objectid 2 polygon
PRK_3,8846482329fffff,8,oahu,2026.01,State Parks centroid 2026,Centroid res8 from state park objectid 3 polygon
PRK_4,8846482767fffff,8,oahu,2026.01,State Parks centroid 2026,Centroid res8 from state park objectid 4 polygon
PRK_5,8846482509fffff,8,oahu,2026.01,State Parks centroid 2026,Centroid res8 from state park objectid 5 polygon
PRK_6,88464876e7fffff,8,oahu,2026.01,State Parks centroid 2026,Centroid res8 from state park objectid 6 polygon
PRK_7,8846482f61fffff,8,oahu,2026.01,State Parks centroid 2026,Centroid res8 from state park objectid 7 polygon
PRK_8,8846495b19fffff,8,oahu,2026.01,State Parks centroid 2026,Centroid res8 from state park objectid 8 polygon
PRK_9,8846482cbdfffff,8,oahu,2026.01,State Parks centroid 2026,Centroid res8 from state park objectid 9 polygon
PRK_10,8846495817fffff,8,oahu,2026.01,State Parks centroid 2026,Centroid res8 from state park objectid 10 polygon
PRK_11,8846482d97fffff,8,oahu,2026.01,State Parks centroid 2026,Centroid res8 from state park objectid 11 polygon
PRK_12,88464959c1fffff,8,oahu,2026.01,State Parks centroid 2026,Centroid res8 from state park objectid 12 polygon
PRK_13,88464b9689fffff,8,oahu,2026.01,State Parks centroid 2026,Centroid res8 from state park objectid 13 polygon
PRK_14,88464b9699fffff,8,oahu,2026.01,State Parks centroid 2026,Centroid res8 from state park objectid 14 polygon
PRK_15,88464b969dfffff,8,oahu,2026.01,State Parks centroid 2026,Centroid res8 from state park objectid 15 polygon
PRK_16,88464b96adfffff,8,oahu,2026.01,State Parks centroid 2026,Centroid res8 from state park objectid 16 polygon
PRK_17,88464941e5fffff,8,oahu,2026.01,State Parks centroid 2026,Centroid res8 from state park objectid 17 polygon
PRK_18,8846494b41fffff,8,oahu,2026.01,State Parks centroid 2026,Centroid res8 from state park objectid 18 polygon
PRK_19,88464b96abfffff,8,oahu,2026.01,State Parks centroid 2026,Centroid res8 from state park objectid 19 polygon
PRK_20,8846494ae3fffff,8,oahu,2026.01,State Parks centroid 2026,Centroid res8 from state park objectid 20 polygon
PRK_21,8846494b2bfffff,8,oahu,2026.01,State Parks centroid 2026,Centroid res8 from state park objectid 21 polygon
PRK_22,884649294dfffff,8,molokai,2026.01,State Parks centroid 2026,Centroid res8 from state park objectid 22 polygon
PRK_23,885d144ab7fffff,8,maui,2026.01,State Parks centroid 2026,Centroid res8 from state park objectid 23 polygon
PRK_24,885d1449d9fffff,8,maui,2026.01,State Parks centroid 2026,Centroid res8 from state park objectid 24 polygon
PRK_25,885d147acdfffff,8,maui,2026.01,State Parks centroid 2026,Centroid res8 from state park objectid 25 polygon
PRK_26,885d147a9dfffff,8,maui,2026.01,State Parks centroid 2026,Centroid res8 from state park objectid 26 polygon
PRK_27,885d1462abfffff,8,maui,2026.01,State Parks centroid 2026,Centroid res8 from state park objectid 27 polygon
PRK_28,885d16b4edfffff,8,maui,2026.01,State Parks centroid 2026,Centroid res8 from state park objectid 28 polygon
PRK_29,885d16a217fffff,8,maui,2026.01,State Parks centroid 2026,Centroid res8 from state park objectid 29 polygon
PRK_30,885d10c489fffff,8,hawaii,2026.01,State Parks centroid 2026,Centroid res8 from state park objectid 30 polygon
