objectid,name,type,type_defin,managedby,island,gis_acre,st_areashape,st_perimetershape
1,MALAEKAHANA STATE RECREATION AREA (KAHUKU SEC.),sra,State Recreation Area,DOSP,Oahu,36.34106757,146993.458690379,1799.9371869448
2,MALAEKAHANA STATE RECREATION AREA (LAIE SEC.),sra,State Recreation Area,DOSP,Oahu,74.13991482,299884.652874798,2884.08293324331
3,PUU O MAHUKA HEIAU STATE HISTORIC SITE,shs,State Historic Site,DOSP,Oahu,4.02404593,16275.544332001,553.865764451379
4,SACRED FALLS STATE PARK *CLOSED*,sp,State Park,DOSP,Oahu,996.16956949,4029399.30181962,11838.4725219558
5,AHUPUAA O KAHANA STATE PARK,sp,State Park,DOSP,Oahu,5220.92236671,21118381.4786328,28191.064387909
6,KAENA POINT STATE PARK,sp,State Park,DOSP,Oahu,1509.42101943,6104456.68654059,39186.04889789
7,WAHIAWA FRESHWATER STATE RECREATION AREA,sra,State Recreation Area,DOSP,Oahu,67.13491539,271537.001603834,3117.69691839439
8,HEEIA STATE PARK,sp,State Park,DOSP,Oahu,17.55809321,71025.039478197,2046.60137275913
9,KEAIWA HEIAU STATE RECREATION AREA,sra,State Recreation Area,DOSP,Oahu,385.08609699,1557647.06664534,6772.04648189627
10,ULUPO HEIAU STATE HISTORICAL PARK,shp,State Historical Park,DOSP,Oahu,28.68255757,116029.241057015,3217.03882740195
11,AIEA BAY STATE RECREATION AREA,sra,State Recreation Area,DOSP,Oahu,6.14690559,24863.2610641021,1456.71277850512
12,NUUANU PALI STATE WAYSIDE,sw,State Wayside,DOSP,Oahu,3.96959777,16057.7681412737,734.406485733652
13,KAPENA FALLS STATE PARK,sp,State Park,DOSP,Oahu,6.59712758,26685.7308136036,1515.47770985764
14,PUU UALAKAA STATE WAYSIDE,sp,State Park,DOSP,Oahu,82.95129085,335547.529824889,2825.04173112845
15,MAKIKI VALLEY STATE RECREATION AREA,sra,State Recreation Area,DOSP,Oahu,17.08388072,69106.0019854914,2545.19770773615
16,SAND ISLAND STATE RECREATION AREA,sra,State Recreation Area,DOSP,Oahu,133.48857515,539958.810265511,6540.39730216625
17,KAIWI SCENIC SHORELINE,sss,State Scenic Shoreline,DOSP,Oahu,364.07334776,1472883.76778016,7669.64053837351
