"h3_cell","codes","primary_code","version","data_source","provenance"
"8846482001fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482003fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482005fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482007fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482009fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"884648200bfffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"884648200dfffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482011fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482013fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482015fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482017fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482019fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"884648201bfffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"884648201dfffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482021fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482023fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482025fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482027fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482029fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"884648202bfffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"884648202dfffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482031fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482033fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482035fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482037fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482039fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"884648203bfffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"884648203dfffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482041fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482043fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482045fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482047fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482049fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"884648204bfffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"884648204dfffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482051fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482053fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482055fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482057fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482059fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"884648205bfffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"884648205dfffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482061fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482063fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482065fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482067fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482069fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"884648206bfffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"884648206dfffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482081fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482083fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482085fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482087fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482089fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"884648208bfffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"884648208dfffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482091fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482093fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482095fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482097fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"8846482099fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"884648209bfffff","AG-2","AG-2","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"884648209dfffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"88464820a1fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"88464820a3fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"88464820a5fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"88464820a7fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"88464820a9fffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"88464820abfffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
"88464820adfffff","P-1","P-1","2026.02","City and County of Honolulu Zoning 2024 (res-8 polyfill)","Honolulu DPP LUO zoning districts, downloaded 2026-02-22; per-cell aggregation AG12 P2"
