objectid,zone_class,zoning_des,zoning_lab,loaddate,st_areashape,st_perimetershape
1,AG-2,AG-2 General Agriculture District,AG-2,2023/09/15 00:00:00+00,0.056212941497467,27.9374702345402
2,AG-2,AG-2 General Agriculture District,AG-2,2023/09/15 00:00:00+00,0.056212941497467,27.9374702345402
3,AG-2,AG-2 General Agriculture District,AG-2,2023/09/15 00:00:00+00,0.056212941497467,27.9374702345402
4,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,3739.39553505566,307.408985267873
5,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,640.361598017596,113.70677727341
6,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,53487.9996574378,860.595507993489
7,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,128727.602693642,1747.05703946244
8,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,4196.93360499997,259.654276309273
9,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,20215.2347446052,600.175900010751
10,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,22340.0323475488,678.016839458599
11,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,83204.4833185339,1293.2788191242
12,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,1302.08933284851,164.687595453552
13,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,1872.56296314896,183.003404057318
14,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,675.011707098656,119.277402012754
15,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,25058.9970540794,616.64775604139
16,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,34387.2306018057,1267.58502789772
17,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,35649.9439416941,951.22329322951
18,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,29888.9615469738,1195.99450702569
19,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,20022.3159913003,656.300047379222
20,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,6613.94769446014,425.289288153589
21,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,18182.5522758008,537.960112952968
22,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,258459.753178518,5358.0123020292
23,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,1867.80873657466,210.403567711042
