zone_id,inst_id,inst_name,inst_opeid,inst_ipeds,inst_url,inst_ph,camp_id,camp_name,address,city,state,zip
UNI_111911,111911,Chaminade University of Honolulu,160500,141486,www.chaminade.edu,808-735-4711,0,,3140 Waialae Ave,Honolulu,HI,96816-1578
UNI_111911_2,111911,Chaminade University of Honolulu,160500,141486,www.chaminade.edu,808-735-4711,2,Chaminade University of Honolulu - Pearl Harbor,1260 Pierce Street,Pearl Harbor,HI,96860-3139
UNI_111911_3,111911,Chaminade University of Honolulu,160500,141486,www.chaminade.edu,808-735-4711,3,Chaminade University of Honolulu - Schofield Barracks,"1565 Kolekole Ave, Bldg 560",Schofield Barracks,HI,96857
UNI_111911_4,111911,Chaminade University of Honolulu,160500,141486,www.chaminade.edu,808-735-4711,4,Chaminade University of Honolulu - Tripler,1 Jarrett White Road,Tripler,HI,96859
UNI_111911_5,111911,Chaminade University of Honolulu,160500,141486,www.chaminade.edu,808-735-4711,5,Chaminade University of Honolulu - Camp Smith,Bldg 27,Camp Smith,HI,96861
UNI_111920,111920,University of Hawaii at Hilo,161100,141565,www.hilo.hawaii.edu,808-974-7311,0,,200 West Kawili Street,Hilo,HI,96720-4091
UNI_111939,111939,University of Hawaii at Manoa,161000,141574,www.manoa.hawaii.edu,808-956-8111,0,,"2500 Campus Road, Hawaii Hall",Honolulu,HI,96822-2301
UNI_111939_2,111939,University of Hawaii at Manoa,161000,141574,www.manoa.hawaii.edu,808-956-8111,2,University of Hawaii at Manoa - University Center-Maui,310 Kaahumanu Avenue,Kahului,HI,96732
UNI_111948,111948,Hawaii Business College,2055100,141583,WWW.HBC.EDU,808-524-4014,0,,"33 S King St, 4th Floor",Honolulu,HI,96813
UNI_111957,111957,Hawaii Institute of Hair Design,2139500,141608,www.hihd.net,808-533-6596,0,,"1128 Nuuanu Avenue, Suite 102",Honolulu,HI,96817
UNI_111966,111966,Hawaii Pacific University,727900,141644,www.hpu.edu,808-544-0202,0,,1164 Bishop Street Suite 800,Honolulu,HI,96813
UNI_111966_2,111966,Hawaii Pacific University,727900,141644,www.hpu.edu,808-544-0202,2,Windward Hawaii Loa Campus,45-045 Kamehameha Highway,Kaneohe,HI,96744
UNI_111966_3,111966,Hawaii Pacific University,727900,141644,www.hpu.edu,808-544-0202,3,Hawaii Pacific University - MCBH Camp Smith Education Center,"MCBH Camp Smith Education Center, BLDG 1-B Room 30",MCBH Camp Smith,HI,96861
UNI_111966_4,111966,Hawaii Pacific University,727900,141644,www.hpu.edu,808-544-0202,4,Hawaii Pacific University - Joint Base Hickam,"15 MSS/DPE 900 Hangar Ave, Hangar 2",Hickam,HI,96853
UNI_111966_5,111966,Hawaii Pacific University,727900,141644,www.hpu.edu,808-544-0202,5,Hawaii Pacific University - MCBH Kaneohe Education Center,"MCBH Kaneohe Education Center Fifth St, BLDG 221",Kaneohe,HI,96863
UNI_111966_6,111966,Hawaii Pacific University,727900,141644,www.hpu.edu,808-544-0202,6,Hawaii Pacific University - Joint Base Pearl Harbor,"Pearl Harbor Education Center, 1260  Pierce St, BLDG 679 2nd Fl, Rm 224",Pearl Harbor,HI,96860
UNI_111966_7,111966,Hawaii Pacific University,727900,141644,www.hpu.edu,808-544-0202,7,Hawaii Pacific University - Schofield Barracks,"Yano Hall, 1565 Kolekole Ave, BLDG 560",Schofield Barracks,HI,96857
UNI_111966_8,111966,Hawaii Pacific University,727900,141644,www.hpu.edu,808-544-0202,8,Hawaii Pacific University - Tripler Army Medical Center,"Tripler Army Education Center, BLDG102 Room 111",Tripler AMC,HI,96859
UNI_111966_9,111966,Hawaii Pacific University,727900,141644,www.hpu.edu,808-544-0202,9,Hawaii Pacific University - Hawaii Loa Campus,45-045 Kamehameha Highway,Kane`ohe,HI,96744-5297
UNI_111975,111975,Hollywood Beauty College,777500,141671,www.hollywoodbeautycollege.com,808-486-7255-0,0,,99-084 Kauhale St Bldg A,Aiea,HI,96701
UNI_111984,111984,Honolulu Community College,161200,141680,www.honolulu.hawaii.edu,808-845-9211,0,,874 Dillingham Blvd,Honolulu,HI,96817-4598
UNI_111993,111993,Transpacific Hawaii College,,141787,www.transpacific.org,,0,,5257 Kalanianaole Hwy.,Honolulu,HI,96821
UNI_112002,112002,Kapi'olani Community College,161300,141796,www.kcc.hawaii.edu,808-734-9555,0,,4303 Diamond Head Rd,Honolulu,HI,96816-4496
UNI_112011,112011,Kauai Community College,161400,141802,www.kauai.hawaii.edu,808-245-8311,0,,3-1901 Kaumualii Hwy,Lihue,HI,96766-9591
UNI_112020,112020,Leeward Community College,454900,141811,www.lcc.hawaii.edu,808-455-0011,0,,96-045 Ala Ike,Pearl City,HI,96782-3393
UNI_112039,112039,University of Hawaii Maui College,161500,141839,www.mauicc.hawaii.edu,808-984-3500,0,,310 Kaahumanu Ave,Kahului,HI,96732-1644
UNI_112039_2,112039,University of Hawaii Maui College,161500,141839,www.mauicc.hawaii.edu,808-984-3500,2,UH Maui College - Molokai Education Center,"375 Kamehameha V Highway, PO Box 440",Kaunakakai,HI,96748
