zone_id,h3_cell,resolution,version,data_source,provenance
UNI_111911,8746494b6ffffff,7,2026.02,PostSecondary point 2026,Point res7 from post-secondary campus UNI_111911 (Chaminade University of Honolulu)
UNI_111911_2,8746482dbffffff,7,2026.02,PostSecondary point 2026,Point res7 from post-secondary campus UNI_111911_2 (Chaminade University of Honolulu - Pearl Harbor)
UNI_111911_3,8746482abffffff,7,2026.02,PostSecondary point 2026,Point res7 from post-secondary campus UNI_111911_3 (Chaminade University of Honolulu - Schofield Barracks)
UNI_111911_4,87464b965ffffff,7,2026.02,PostSecondary point 2026,Point res7 from post-secondary campus UNI_111911_4 (Chaminade University of Honolulu - Tripler)
UNI_111911_5,87464b964ffffff,7,2026.02,PostSecondary point 2026,Point res7 from post-secondary campus UNI_111911_5 (Chaminade University of Honolulu - Camp Smith)
UNI_111920,875d11510ffffff,7,2026.02,PostSecondary point 2026,Point res7 from post-secondary campus UNI_111920 (University of Hawaii at Hilo)
UNI_111939,87464b969ffffff,7,2026.02,PostSecondary point 2026,Point res7 from post-secondary campus UNI_111939 (University of Hawaii at Manoa)
UNI_111939_2,875d1448dffffff,7,2026.02,PostSecondary point 2026,Point res7 from post-secondary campus UNI_111939_2 (University of Hawaii at Manoa - University Center-Maui)
UNI_111948,87464b96affffff,7,2026.02,PostSecondary point 2026,Point res7 from post-secondary campus UNI_111948 (Hawaii Business College)
UNI_111957,87464b96affffff,7,2026.02,PostSecondary point 2026,Point res7 from post-secondary campus UNI_111957 (Hawaii Institute of Hair Design)
UNI_111966,87464b968ffffff,7,2026.02,PostSecondary point 2026,Point res7 from post-secondary campus UNI_111966 (Hawaii Pacific University)
UNI_111966_2,874649583ffffff,7,2026.02,PostSecondary point 2026,Point res7 from post-secondary campus UNI_111966_2 (Windward Hawaii Loa Campus)
UNI_111966_3,87464b964ffffff,7,2026.02,PostSecondary point 2026,Point res7 from post-secondary campus UNI_111966_3 (Hawaii Pacific University - MCBH Camp Smith Education Center)
UNI_111966_4,87464b975ffffff,7,2026.02,PostSecondary point 2026,Point res7 from post-secondary campus UNI_111966_4 (Hawaii Pacific University - Joint Base Hickam)
UNI_111966_5,8746495a3ffffff,7,2026.02,PostSecondary point 2026,Point res7 from post-secondary campus UNI_111966_5 (Hawaii Pacific University - MCBH Kaneohe Education Center)
UNI_111966_6,8746482dbffffff,7,2026.02,PostSecondary point 2026,Point res7 from post-secondary campus UNI_111966_6 (Hawaii Pacific University - Joint Base Pearl Harbor)
UNI_111966_7,8746482abffffff,7,2026.02,PostSecondary point 2026,Point res7 from post-secondary campus UNI_111966_7 (Hawaii Pacific University - Schofield Barracks)
UNI_111966_8,87464b965ffffff,7,2026.02,PostSecondary point 2026,Point res7 from post-secondary campus UNI_111966_8 (Hawaii Pacific University - Tripler Army Medical Center)
UNI_111966_9,874649583ffffff,7,2026.02,PostSecondary point 2026,Point res7 from post-secondary campus UNI_111966_9 (Hawaii Pacific University - Hawaii Loa Campus)
UNI_111975,8746482d9ffffff,7,2026.02,PostSecondary point 2026,Point res7 from post-secondary campus UNI_111975 (Hollywood Beauty College)
UNI_111984,87464b96effffff,7,2026.02,PostSecondary point 2026,Point res7 from post-secondary campus UNI_111984 (Honolulu Community College)
UNI_111993,8746494a2ffffff,7,2026.02,PostSecondary point 2026,Point res7 from post-secondary campus UNI_111993 (Transpacific Hawaii College)
UNI_112002,8746494b0ffffff,7,2026.02,PostSecondary point 2026,Point res7 from post-secondary campus UNI_112002 (Kapi'olani Community College)
UNI_112011,87464e394ffffff,7,2026.02,PostSecondary point 2026,Point res7 from post-secondary campus UNI_112011 (Kauai Community College)
UNI_112020,8746482deffffff,7,2026.02,PostSecondary point 2026,Point res7 from post-secondary campus UNI_112020 (Leeward Community College)
