OBJECTID,Name,Description,Source Scale,Shape__Length
1,Airport Section,Center Alignment,1:480 / 1""=40',27188.0668438982
2,Kamehameha Highway Section,Center Alignment,1:480 / 1""=40',20506.4225651254
3,City Center Section,Center Alignment,1:480 / 1""=40',21784.7678423846
4,Airport Section,Eastbound Alignment,1:480 / 1""=40',27198.476423525
5,Airport Section,Westbound Alignment,1:480 / 1""=40',27175.7350746699
6,City Center Section,Eastbound Alignment,1:480 / 1""=40',21785.0163616347
7,Kamehameha Highway Section,Eastbound Alignment,1:480 / 1""=40',20494.1340219552
8,Kamehameha Highway Section,Westbound Alignment,1:480 / 1""=40',20519.4616370768
9,City Center Section,Westbound Alignment,1:480 / 1""=40',21785.5747503323
10,West Oahu/Farrington Highway Section,Eastbound Alignment,1:480 / 1""=40',36974.8477193786
11,West Oahu/Farrington Highway Section,Westbound Alignment,1:480 / 1""=40',36759.0540242954
12,West Oahu/Farrington Highway Section,Center Alignment,1:480 / 1""=40',36761.113729638
