X,Y,esis_name,objectid,sch_code,sch_name,address,city,zip,phone,fax,principal,grade_from,grade_to,sch_type,website,complex,complex_area,district,island,charter
603597.8527,2365985.8404,August Ahrens Elem School,1,250,Ahrens Elementary,94-1170 Waipahu Street,Waipahu,96797,808.675.0202,808.675.0216,Hanh Quang Nguyen,K,6,Elementary,http://www.augustahrens.org/,Waipahu,Pearl City-Waipahu,Leeward,Oahu,0
621204.4952,2370810.0155,Ahuimanu Elem School,2,335,Ahuimanu Elementary,47-470 Hui Aeko Place,Kaneohe,96744,808.239.3125,808.239.3127,Kimi Yuki Ikeda,K,6,Elementary,https://sites.google.com/a/ahuimanu.k12.hi.us/ahuimanu-school/home,Castle,Castle-Kahuku,Windward,Oahu,0
611057.6848,2364148.6482,Aiea Elem School,3,200,Aiea Elementary,99-370 Moanalua Road,Aiea,96701,808.305.4400,808.483.7201,James L Kau,K,6,Elementary,http://www.aieaelementary.com/,Aiea,Aiea Moanalua-Radford,Central,Oahu,0
610860.5238,2365004.73,Aiea High School,4,202,Aiea High,98-1276 Ulune Street,Aiea,96701,808.305.6500,808.483.7303,Shannon Lee Tamashiro,9,12,High,http://www.aieahs.org/,Aiea,Aiea Moanalua-Radford,Central,Oahu,0
611678.9532,2364844.697,Aiea Inter School,5,201,Aiea Intermediate,99-600 Kulawea Street,Aiea,96701,808.305.7230,808.483.7235,Tom H Kurashige,7,8,Middle,http://www.aieais.k12.hi.us/,Aiea,Aiea Moanalua-Radford,Central,Oahu,0
629633.6949,2369639.6298,Aikahi Elem School,6,300,Aikahi Elementary,281 Ilihau Street,Kailua,96734,808.254.7944,808.254.7962,Keoki L Fraser,K,6,Elementary,http://www.aikahielementary.com/,Kalaheo,Kailua-Kalaheo,Windward,Oahu,0
629097.7792,2353551.9236,Aina Haina Elem School,7,100,Aina Haina Elementary,801 West Hind Drive,Honolulu,96821,808.377.2419,808.377.2426,Brendan P Burns,K,5,Elementary,http://www.ainahaina.k12.hi.us,Kaiser,Farrington-Kaiser-Kalani,Honolulu,Oahu,0
621753.432,2354132.4586,Ala Wai Elem School,8,101,Ala Wai Elementary,503 Kamoku Street,Honolulu,96826,808.973.0070,808.973.0081,Michelle Danette Debusca,K,5,Elementary,http://www.alawaielementary.org/,Kaimuki,Kaimuki-McKinley-Roosevelt,Honolulu,Oahu,0
612801.0233,2360484.1095,Aliamanu Elem School,9,203,Aliamanu Elementary,3265 Salt Lake Blvd.,Honolulu,96818,808.421.4280,808.421.4283,Sandra S Yoshimi,K,6,Elementary,http://aliamanu.k12.hi.us/,Radford,Aiea Moanalua-Radford,Central,Oahu,0
612472.7078,2360637.0471,Aliamanu Middle School,10,204,Aliamanu Middle,3271 Salt Lake Blvd.,Honolulu,96818,808.421.4100,808.421.4103,Albert M IV Hetrick,7,8,Middle,http://www.aliamanumiddle.org,Radford,Aiea Moanalua-Radford,Central,Oahu,0
624052.855,2354311.338,Aliiolani Elem School,11,102,Aliiolani Elementary,1240 7th Avenue,Honolulu,96816,808.733.4750,808.733.4758,Joseph Andrew Passantino,K,5,Elementary,http://www.aliiolani.k12.hi.us/,Kaimuki,Kaimuki-McKinley-Roosevelt,Honolulu,Oahu,0
625618.7518,2356293.8982,Anuenue School,12,103,Ke Kula Kaiapuni O Anuenue,2528 10th Avenue,Honolulu,96816,808.733.8465,808.733.8467,Glen K Miyasato,K,12,Elementary-Middle-High,http://home.anuenue.org/,Roosevelt,Kaimuki-McKinley-Roosevelt,Honolulu,Oahu,0
760985.342,2311891.45,Baldwin High School,13,400,Baldwin High,1650 Kaahumanu Avenue,Wailuku,96793,808.984.5656,808.984.5674,Catherine L Kilborn,9,12,High,http://www.baldwin.k12.hi.us/,Baldwin,Baldwin-Kekaulike-Maui,Maui,Maui,0
595340.013,2358197.9433,Barbers Point Elem School,14,251,Barbers Point Elementary,3001 Boxer Road,Kapolei,96707,808.673.7400,808.673.7403,Jaclyn Susan Riel,K,5,Elementary,http://barbers.k12.hi.us/,Kapolei,Campbell-Kapolei,Leeward,Oahu,0
