zone_id,h3_cell,resolution,island,version,data_source,provenance
SCH_1,8e46482d3290277,14,oahu,2026.02,Schools intrazone 2026,Point res14 from school objectid 1 (Ahrens Elementary)
SCH_2,8e46495b0395d67,14,oahu,2026.02,Schools intrazone 2026,Point res14 from school objectid 2 (Ahuimanu Elementary)
SCH_3,8e46482d939e58f,14,oahu,2026.02,Schools intrazone 2026,Point res14 from school objectid 3 (Aiea Elementary)
SCH_4,8e46482d9154a67,14,oahu,2026.02,Schools intrazone 2026,Point res14 from school objectid 4 (Aiea High)
SCH_5,8e46482d9ac408f,14,oahu,2026.02,Schools intrazone 2026,Point res14 from school objectid 5 (Aiea Intermediate)
SCH_6,8e4649585a64587,14,oahu,2026.02,Schools intrazone 2026,Point res14 from school objectid 6 (Aikahi Elementary)
SCH_7,8e46494a26a349f,14,oahu,2026.02,Schools intrazone 2026,Point res14 from school objectid 7 (Aina Haina Elementary)
SCH_8,8e46494b6550daf,14,oahu,2026.02,Schools intrazone 2026,Point res14 from school objectid 8 (Ala Wai Elementary)
SCH_9,8e464b962b2a7af,14,oahu,2026.02,Schools intrazone 2026,Point res14 from school objectid 9 (Aliamanu Elementary)
SCH_10,8e464b962868577,14,oahu,2026.02,Schools intrazone 2026,Point res14 from school objectid 10 (Aliamanu Middle)
SCH_11,8e46494b0da9797,14,oahu,2026.02,Schools intrazone 2026,Point res14 from school objectid 11 (Aliiolani Elementary)
SCH_12,8e46494b4aed06f,14,oahu,2026.02,Schools intrazone 2026,Point res14 from school objectid 12 (Ke Kula Kaiapuni O Anuenue)
SCH_13,8e5d1448d4e5a2f,14,maui,2026.02,Schools intrazone 2026,Point res14 from school objectid 13 (Baldwin High)
SCH_14,8e464b9006d209f,14,oahu,2026.02,Schools intrazone 2026,Point res14 from school objectid 14 (Barbers Point Elementary)
SCH_15,8e464b90d0ad9a7,14,oahu,2026.02,Schools intrazone 2026,Point res14 from school objectid 15 (Campbell High)
SCH_16,8e4649586208b1f,14,oahu,2026.02,Schools intrazone 2026,Point res14 from school objectid 16 (Castle High)
SCH_17,8e464b9684e6997,14,oahu,2026.02,Schools intrazone 2026,Point res14 from school objectid 17 (Keelikolani Middle)
SCH_18,8e5d1024bb5a98f,14,hawaii,2026.02,Schools intrazone 2026,Point res14 from school objectid 18 (DeSilva Elementary)
SCH_19,8e464b961302887,14,oahu,2026.02,Schools intrazone 2026,Point res14 from school objectid 19 (Dole Middle)
SCH_20,8e464e72aacd06f,14,kauai,2026.02,Schools intrazone 2026,Point res14 from school objectid 20 (Eleele Elementary)
SCH_21,8e464958c70920f,14,oahu,2026.02,Schools intrazone 2026,Point res14 from school objectid 21 (Enchanted Lake Elementary)
SCH_22,8e464b90d5096a7,14,oahu,2026.02,Schools intrazone 2026,Point res14 from school objectid 22 (Ewa Beach Elementary)
