zone_id,h3_cell,resolution,island,version,data_source,provenance
SCH_1,8746482d3ffffff,7,oahu,2026.02,Schools point 2026,Point res7 from school objectid 1 (Ahrens Elementary)
SCH_2,8746495b0ffffff,7,oahu,2026.02,Schools point 2026,Point res7 from school objectid 2 (Ahuimanu Elementary)
SCH_3,8746482d9ffffff,7,oahu,2026.02,Schools point 2026,Point res7 from school objectid 3 (Aiea Elementary)
SCH_4,8746482d9ffffff,7,oahu,2026.02,Schools point 2026,Point res7 from school objectid 4 (Aiea High)
SCH_5,8746482d9ffffff,7,oahu,2026.02,Schools point 2026,Point res7 from school objectid 5 (Aiea Intermediate)
SCH_6,874649585ffffff,7,oahu,2026.02,Schools point 2026,Point res7 from school objectid 6 (Aikahi Elementary)
SCH_7,8746494a2ffffff,7,oahu,2026.02,Schools point 2026,Point res7 from school objectid 7 (Aina Haina Elementary)
SCH_8,8746494b6ffffff,7,oahu,2026.02,Schools point 2026,Point res7 from school objectid 8 (Ala Wai Elementary)
SCH_9,87464b962ffffff,7,oahu,2026.02,Schools point 2026,Point res7 from school objectid 9 (Aliamanu Elementary)
SCH_10,87464b962ffffff,7,oahu,2026.02,Schools point 2026,Point res7 from school objectid 10 (Aliamanu Middle)
SCH_11,8746494b0ffffff,7,oahu,2026.02,Schools point 2026,Point res7 from school objectid 11 (Aliiolani Elementary)
SCH_12,8746494b4ffffff,7,oahu,2026.02,Schools point 2026,Point res7 from school objectid 12 (Ke Kula Kaiapuni O Anuenue)
SCH_13,875d1448dffffff,7,maui,2026.02,Schools point 2026,Point res7 from school objectid 13 (Baldwin High)
SCH_14,87464b903ffffff,7,oahu,2026.02,Schools point 2026,Point res7 from school objectid 14 (Barbers Point Elementary)
SCH_15,87464b90dffffff,7,oahu,2026.02,Schools point 2026,Point res7 from school objectid 15 (Campbell High)
SCH_16,874649586ffffff,7,oahu,2026.02,Schools point 2026,Point res7 from school objectid 16 (Castle High)
SCH_17,87464b968ffffff,7,oahu,2026.02,Schools point 2026,Point res7 from school objectid 17 (Keelikolani Middle)
SCH_18,875d1024bffffff,7,hawaii,2026.02,Schools point 2026,Point res7 from school objectid 18 (DeSilva Elementary)
SCH_19,87464b961ffffff,7,oahu,2026.02,Schools point 2026,Point res7 from school objectid 19 (Dole Middle)
SCH_20,87464e72affffff,7,kauai,2026.02,Schools point 2026,Point res7 from school objectid 20 (Eleele Elementary)
SCH_21,87464958cffffff,7,oahu,2026.02,Schools point 2026,Point res7 from school objectid 21 (Enchanted Lake Elementary)
SCH_22,87464b90dffffff,7,oahu,2026.02,Schools point 2026,Point res7 from school objectid 22 (Ewa Beach Elementary)
SCH_23,87464b92affffff,7,oahu,2026.02,Schools point 2026,Point res7 from school objectid 23 (Ewa Elementary)
SCH_24,87464b90cffffff,7,oahu,2026.02,Schools point 2026,Point res7 from school objectid 24 (Ewa Makai Middle)
SCH_25,87464b96effffff,7,oahu,2026.02,Schools point 2026,Point res7 from school objectid 25 (Farrington High)
SCH_26,87464b961ffffff,7,oahu,2026.02,Schools point 2026,Point res7 from school objectid 26 (Fern Elementary)
SCH_27,875d11532ffffff,7,hawaii,2026.02,Schools point 2026,Point res7 from school objectid 27 (Haaheo Elementary)
SCH_28,8746494a1ffffff,7,oahu,2026.02,Schools point 2026,Point res7 from school objectid 28 (Hahaione Elementary)
SCH_29,875d14453ffffff,7,maui,2026.02,Schools point 2026,Point res7 from school objectid 29 (Haiku Elementary)
SCH_30,8746482a4ffffff,7,oahu,2026.02,Schools point 2026,Point res7 from school objectid 30 (Haleiwa Elementary)
SCH_31,875d1462affffff,7,maui,2026.02,Schools point 2026,Point res7 from school objectid 31 (Hana High and Elementary)
SCH_32,87464e02effffff,7,kauai,2026.02,Schools point 2026,Point res7 from school objectid 32 (Hanalei Elementary)
SCH_33,874648276ffffff,7,oahu,2026.02,Schools point 2026,Point res7 from school objectid 33 (Hauula Elementary)
SCH_34,8746494b2ffffff,7,oahu,2026.02,Schools point 2026,Point res7 from school objectid 34 (Hawai`i School for the Deaf and the Blind)
SCH_35,874649586ffffff,7,oahu,2026.02,Schools point 2026,Point res7 from school objectid 35 (Heeia Elementary)
SCH_36,8746482a9ffffff,7,oahu,2026.02,Schools point 2026,Point res7 from school objectid 36 (Helemano Elementary)
SCH_37,87464b974ffffff,7,oahu,2026.02,Schools point 2026,Point res7 from school objectid 37 (Hickam Elementary)
SCH_38,8746482dcffffff,7,oahu,2026.02,Schools point 2026,Point res7 from school objectid 38 (Highlands Intermediate)
SCH_39,875d10249ffffff,7,hawaii,2026.02,Schools point 2026,Point res7 from school objectid 39 (Hilo High)
SCH_40,875d10249ffffff,7,hawaii,2026.02,Schools point 2026,Point res7 from school objectid 40 (Hilo Intermediate)
SCH_41,875d11514ffffff,7,hawaii,2026.02,Schools point 2026,Point res7 from school objectid 41 (Hilo Union Elementary)
SCH_42,8746494b6ffffff,7,oahu,2026.02,Schools point 2026,Point res7 from school objectid 42 (Hokulani Elementary)
SCH_43,87464b92bffffff,7,oahu,2026.02,Schools point 2026,Point res7 from school objectid 43 (Holomua Elementary)
SCH_44,875d10799ffffff,7,hawaii,2026.02,Schools point 2026,Point res7 from school objectid 44 (Holualoa Elementary)
SCH_45,875d13d24ffffff,7,hawaii,2026.02,Schools point 2026,Point res7 from school objectid 45 (Honaunau Elementary)
SCH_46,875d10a9effffff,7,hawaii,2026.02,Schools point 2026,Point res7 from school objectid 46 (Honokaa Elementary)
SCH_47,875d10a9effffff,7,hawaii,2026.02,Schools point 2026,Point res7 from school objectid 47 (Honokaa High and Intermediate)
SCH_48,87464b92cffffff,7,oahu,2026.02,Schools point 2026,Point res7 from school objectid 48 (Honowai Elementary)
SCH_49,87464b900ffffff,7,oahu,2026.02,Schools point 2026,Point res7 from school objectid 49 (Hookele Elementary)
SCH_50,875d13d04ffffff,7,hawaii,2026.02,Schools point 2026,Point res7 from school objectid 50 (Hookena Elementary)
SCH_51,875d14488ffffff,7,maui,2026.02,Schools point 2026,Point res7 from school objectid 51 (Iao Intermediate)
SCH_52,8746482f4ffffff,7,oahu,2026.02,Schools point 2026,Point res7 from school objectid 52 (Iliahi Elementary)
