zone_id,h3_cell,resolution,island,version,data_source,provenance
GOV_1,875d13c14ffffff,7,hawaii,2026.01,Govt land centroid 2026,Centroid res7 from govt land objectid 1 polygon
GOV_2,875d13c14ffffff,7,hawaii,2026.01,Govt land centroid 2026,Centroid res7 from govt land objectid 2 polygon
GOV_3,875d13c14ffffff,7,hawaii,2026.01,Govt land centroid 2026,Centroid res7 from govt land objectid 3 polygon
GOV_4,875d13c14ffffff,7,hawaii,2026.01,Govt land centroid 2026,Centroid res7 from govt land objectid 4 polygon
GOV_5,875d13112ffffff,7,hawaii,2026.01,Govt land centroid 2026,Centroid res7 from govt land objectid 5 polygon
GOV_6,875d131a2ffffff,7,hawaii,2026.01,Govt land centroid 2026,Centroid res7 from govt land objectid 6 polygon
GOV_7,875d131a8ffffff,7,hawaii,2026.01,Govt land centroid 2026,Centroid res7 from govt land objectid 7 polygon
GOV_8,875d13116ffffff,7,hawaii,2026.01,Govt land centroid 2026,Centroid res7 from govt land objectid 8 polygon
GOV_9,875d1388bffffff,7,hawaii,2026.01,Govt land centroid 2026,Centroid res7 from govt land objectid 9 polygon
GOV_10,875d13c25ffffff,7,hawaii,2026.01,Govt land centroid 2026,Centroid res7 from govt land objectid 10 polygon
GOV_11,875d13c14ffffff,7,hawaii,2026.01,Govt land centroid 2026,Centroid res7 from govt land objectid 11 polygon
GOV_12,875d13c14ffffff,7,hawaii,2026.01,Govt land centroid 2026,Centroid res7 from govt land objectid 12 polygon
GOV_13,875d13c14ffffff,7,hawaii,2026.01,Govt land centroid 2026,Centroid res7 from govt land objectid 13 polygon
GOV_14,875d13c14ffffff,7,hawaii,2026.01,Govt land centroid 2026,Centroid res7 from govt land objectid 14 polygon
GOV_15,875d13c10ffffff,7,hawaii,2026.01,Govt land centroid 2026,Centroid res7 from govt land objectid 15 polygon
GOV_16,875d13c10ffffff,7,hawaii,2026.01,Govt land centroid 2026,Centroid res7 from govt land objectid 16 polygon
GOV_17,875d13c10ffffff,7,hawaii,2026.01,Govt land centroid 2026,Centroid res7 from govt land objectid 17 polygon
GOV_18,875d13c10ffffff,7,hawaii,2026.01,Govt land centroid 2026,Centroid res7 from govt land objectid 18 polygon
GOV_19,875d13c14ffffff,7,hawaii,2026.01,Govt land centroid 2026,Centroid res7 from govt land objectid 19 polygon
GOV_20,875d13104ffffff,7,hawaii,2026.01,Govt land centroid 2026,Centroid res7 from govt land objectid 20 polygon
GOV_21,875d13106ffffff,7,hawaii,2026.01,Govt land centroid 2026,Centroid res7 from govt land objectid 21 polygon
GOV_22,875d13c14ffffff,7,hawaii,2026.01,Govt land centroid 2026,Centroid res7 from govt land objectid 22 polygon
GOV_23,875d13c14ffffff,7,hawaii,2026.01,Govt land centroid 2026,Centroid res7 from govt land objectid 23 polygon
GOV_24,875d131a5ffffff,7,hawaii,2026.01,Govt land centroid 2026,Centroid res7 from govt land objectid 24 polygon
GOV_25,875d13186ffffff,7,hawaii,2026.01,Govt land centroid 2026,Centroid res7 from govt land objectid 25 polygon
GOV_26,875d13186ffffff,7,hawaii,2026.01,Govt land centroid 2026,Centroid res7 from govt land objectid 26 polygon
GOV_27,875d131a6ffffff,7,hawaii,2026.01,Govt land centroid 2026,Centroid res7 from govt land objectid 27 polygon
GOV_28,875d13c52ffffff,7,hawaii,2026.01,Govt land centroid 2026,Centroid res7 from govt land objectid 28 polygon
GOV_29,875d13c50ffffff,7,hawaii,2026.01,Govt land centroid 2026,Centroid res7 from govt land objectid 29 polygon
GOV_30,875d13c1dffffff,7,hawaii,2026.01,Govt land centroid 2026,Centroid res7 from govt land objectid 30 polygon
GOV_31,875d13c1affffff,7,hawaii,2026.01,Govt land centroid 2026,Centroid res7 from govt land objectid 31 polygon
GOV_32,875d13cabffffff,7,hawaii,2026.01,Govt land centroid 2026,Centroid res7 from govt land objectid 32 polygon
GOV_33,875d13ca9ffffff,7,hawaii,2026.01,Govt land centroid 2026,Centroid res7 from govt land objectid 33 polygon
GOV_34,875d13c02ffffff,7,hawaii,2026.01,Govt land centroid 2026,Centroid res7 from govt land objectid 34 polygon
GOV_35,875d131a5ffffff,7,hawaii,2026.01,Govt land centroid 2026,Centroid res7 from govt land objectid 35 polygon
GOV_36,875d1388bffffff,7,hawaii,2026.01,Govt land centroid 2026,Centroid res7 from govt land objectid 36 polygon
GOV_37,875d13c06ffffff,7,hawaii,2026.01,Govt land centroid 2026,Centroid res7 from govt land objectid 37 polygon
GOV_38,875d1318cffffff,7,hawaii,2026.01,Govt land centroid 2026,Centroid res7 from govt land objectid 38 polygon
