OBJECTID_1,objectid,trail_num,nah,island,quad,district,yrcreated,length_mi,elev_range,st_access,start_pt,end_pt,standard,climate,tspt_type,features,amenities,use_rest,hazards,comments,shape_leng,trailname,Shape__Length
1,330,OA 01 005,Y,Oahu,01,Waialua,Unknown,6,500,2-wheel drive,Kaena Pt. Tracking Station Rd.,"Past Peacock Flats, Mokuleia Trail",N/A,Mild,"4WD, Foot, Bicycle","Hike, Nature Study, Hunt",None,Permit,"Footing, Hunters","permit-DOFAW, Rd. starts at Manini Gulch",13414.2319423,Mokuleia-Kuaokala Firebreak Access Road,44023.4834136767
2,335,OA 08 007,Y,Oahu,08,"Waialua, Wahiawa",1930's,3.5,800,4-wheel drive,End of Jeep Road,Koolau Ridge,Moderate,Mild,Foot,"Hike, Nature Study, Hunt",Camping,"Private access, time, permit","Hunters, Footing","Permit-DOFAW, Waialua Sugar, Dole, Army",4812.85459455,Poamoho Access Road and Trail,15793.9035839476
3,340,OA 08 007,Y,Oahu,08,"Waialua, Wahiawa",1930's,3.5,800,4-wheel drive,End of Jeep Road,Koolau Ridge,Moderate,Mild,Foot,"Hike, Nature Study, Hunt",Camping,"Private access, time, permit","Hunters, Footing","Permit-DOFAW, Waialua Sugar, Dole, Army",1421.74529919,Poamoho Access Road and Trail,4665.63394153818
4,360,OA 14 001,Y,Oahu,14,Koolaupoko,Unknown,1,600,2-wheel drive,Kaelepulu Dr. before private rd.,Summit - Kaiwa,Easy,Mild,"Foot, Bicycle","Hike, Nature Study",None,Private Access,Footing,Heavily used,1259.83197941,Kaiwa Ridge Trail,4134.02767678827
5,368,OA 08 018,Y,Oahu,08,Koolauloa,1898,2.75,1200,Foot,Off Maakua Ridge Loop Trail,Waterfall and Pool,Difficult,Mild,Foot,"Hike, Nature Study, Stream, Swim, Hunt",Camping,None,"Hunters, Floods, Landslides, Footing","Camp permit - DOFAW, stream-bed hike",2519.28032287,Maakua Gulch Trail,8267.27318912861
6,391,OA 13 036,Y,Oahu,13,Honolulu,Unknown,0.80000001,800,Bus,End of Manoa Road,Manoa Falls,Easy,"Mild, Wet","Foot, Bicycle","Hike, Nature Study, Stream, Swim",Parking,None,"Footing, floods","Makiki-Tantalus cplx, Maint by Operation",1157.53599275,Manoa Falls Trail,3798.44836770865
7,399,OA 15 008,Y,Oahu,15,Honolulu,Unknown,3,2000,2-wheel drive,End Laukahi Street-gate blocks acc.,Koolau summit Ridge,Moderate,Mild,Foot,"Hike, Nature Study",None,Private Access,"Cliffs, footing",First part of trail old road,1181.29670325,Wiliwilinui Access Road and Trail,3876.37004643876
8,400,OA 15 008,Y,Oahu,15,Honolulu,Unknown,3,2000,2-wheel drive,End Laukahi Street-gate blocks acc.,Koolau summit Ridge,Moderate,Mild,Foot,"Hike, Nature Study",None,Private Access,"Cliffs, footing",First part of trail old road,3074.21117994,Wiliwilinui Access Road and Trail,10087.9019244909
9,401,OA 08 019,Y,Oahu,08,Koolauloa,1898,2.5,800,2-wheel drive,End of Maakua Road,Same as start,Moderate,Mild,Foot,"Hike, Nature Study, Hunt",Camping,None,"Hunters, Footing",Camping permit - DOFAW,3966.43572071,Maakua Ridge Trail,13016.2429529262
10,402,OA 08 012,Y,Oahu,08,Wahiawa,Unknown,4,700,2-wheel drive,End Schofield-Waikane Access,Koolau Ridge,Difficult,"Mild, Wet",Foot,"Hike, Nature Study",None,"Permit, Private Access, Time","Cliffs, Footing",Permit - Army Support Command,5866.10046219,Schofield-Waikane Trail,19250.2154321993
11,424,OA 15 010,Y,Oahu,15,Honolulu,Unknown,3.5,1700,2-wheel drive,Ikena Circle-water tank,Koolau summit ridge,Difficult,"Mild, Wet",Foot,"Hike, Nature Study, Hunt",Parking,None,"Footing, cliffs, hunters",Easement-explain purpose at guard gate,3806.59502207,Hawailoa Ridge Trail,12491.0987713958
12,428,OA 01 006,Y,Oahu,01,Waialua,Unknown,2,1600,2-wheel drive,Behind Dillingham AFB-West Gate,Kealia Rd to F.R. Mauka Rd,Moderate,"Hot, Dry","Foot, bike, 4WD above switchback","Hike, Nature Study, Hunt",Parking,None,"Footing, Hunters","Windy, access to Peacock Flat via Kealia",1750.78898328,Kealia Access Road and Trail,5745.82012143657
13,430,OA 13 023,Y,Oahu,13,Honolulu,Unknown,0.75,200,2-wheel drive,Nuuanu Pali Dr. Reservoir Spillway,Same as start,Easy,Mild,"Foot, Bicycle","Hike, Nature Study, Stream, Swim",Parking,None,"Floods, footing",Maint. by Operations.  Rubbish problems.,1330.7163069,Judd Memorial Loop Trail,4366.76186491743
14,431,OA 13 035,Y,Oahu,13,Honolulu,1978,1.29999995,1200,Foot,Manoa Falls Trail,Pauoa Flats-reservoir overlook,Easy,"Mild, Wet","Foot, Bicycle","Hike, Nature Study",None,None,None,"Makiki-Tantalus cplx, Maint by Operation",1864.09756934,Aihualama Trail,6117.02542163861
15,432,OA 13 025,Y,Oahu,13,Honolulu,Unknown,0.69999999,500,2-wheel drive,"DOFAW Baseyard, Makiki Forest Area",Makiki Valley Trail,Easy,Mild,"Foot, Bicycle","Hike, Nature Study","Parking, toilet, potable water",none,None,Makiki-Tantalus complex,1170.27562919,Kanealole Trail,3840.27613631964
16,438,OA 15 092,Y,Oahu,15,Koolaupoko, ,0,0, , , , , , , , , , , ,866.2303558,Maunawili Falls Trail,2842.50556618252
17,440,OA 13 090,Y,Oahu,13, , ,0,0, , , , , , , , , , , ,208.67114073,Maunawili Trail Pali Access,684.749162682636
18,441,OA 09 021,Y,Oahu,09, , ,0,0, , , , , , , , , , , ,1257.3533252,Waimano Trail Access,4126.12432746468
19,442,OA 09 011,Y,Oahu,09 12,Ewa,Unknown,7.19999981,1600,2-wheel drive,"Waimano Home Gate, left of fence",Koolau Ridge,Difficult,"Mild, Wet","Foot, Bicycle","Hike, Nature Study, Stream, Hunt","Camping, parking",None,"Hunters, footing, floods",Camping permit from DOFAW,9319.80384657,Upper Waimano Trail,30583.721037101
20,445,OA 01 013,Y,Oahu,01,"Waianae, Waialua",Unknown,2,500,2-wheel drive,Forest Reserve Road,Mokuleia firebreak (Mauka) Rd.,Moderate,Mild,"Foot, Bicycle","Hike, Nature Study, Hunt",Parking,"Private Access, permit","Footing, Cliffs, Hunters",Permit-DOFAW,4084.41414164,Kuaokala Trail,13404.4771132452
21,449,OA 01 006,Y,Oahu,01,Waialua,Unknown,2,1600,2-wheel drive,Behind Dillingham AFB-West Gate,Kealia Rd to F.R. Mauka Rd,Moderate,"Hot, Dry","Foot, bike, 4WD above switchback","Hike, Nature Study, Hunt",Parking,None,"Footing, Hunters","Windy, access to Peacock Flat via Kealia",2081.98573163,Kealia Access Road and Trail,6832.77656012517
22,451,OA 01 010,Y,Oahu,01,Waialua,Unknown,3.5,1200,2-wheel drive,End Mokuleia Access-FAA Road,Mokuleia firebreak (mauka) Rd.,Moderate,Mild,Foot,"Hike, Nature Study, Hunt, Bio Sens.",Camping,New access road open,"Footing, Hunters",Trail goes through Pahole NAR,4006.95650015,Mokuleia Trail,13150.1214990893
23,452,OA 01 009,Y,Oahu,01,Waialua,Unknown,4.19999981,1400,2-wheel drive,Farrington Highway-Mokuleia Ranch,Mokuleia FR Mauka Rd past Nike site,Easy,Mild,"4WD, Foot",None,None,"Private Access, Permit",None,"Acc. Mokuleia,Makua Rim,Peacock Flat Tr",5825.11226112,Mokuleia Forest Reserve Access Road,19116.9807164342
24,476,OA 07 002,Y,Oahu,07,Koolauloa,Unknown,2.5,600,2-wheel drive,"End Pupukea Rd-gate, Boy Scout Camp",Pupukea F.R. road,Moderate,Mild,"Foot, Bicycle","Hike, Nature Study, Hunt",None,Time,"Hunters, Footing","Open weekends, state-Nat'l holidays",3101.96135862,Kaunala Trail (West),10179.6371963217
25,489,OA 08 017,Y,Oahu,08,Koolauloa,1878,2.5,700,2-wheel drive,End of Maakua Road,Same as start,Easy,"Mild, Wet","Foot, Bicycle","Hike, Nature Study, Hunt",Camping,None,Hunters,Camping permit - DOFAW,3203.74885181,Hauula Loop Trail,10513.4064648467
26,503,OA 09 010,Y,Oahu,09,Ewa,Unknown,1,300,2-wheel drive,"Waimano Home Gate, left of fence","Waimano upper, .5 mile from start",easy,Mild,"Foot, Bicycle","Hike, Nature Study, Hunt, Stream, Swim","Parking, Camping",None,"Footing, floods, hunters",Camping permit-DOFAW,1288.4554628,Lower Waimano Trail,4228.21716309457
27,504,OA 09 008,Y,Oahu,09 12,Ewa,Unknown,6,1700,2-wheel drive,End of Komo Mai Drive,Koolau Ridge,Difficult,Mild,"Foot, Bicycle","Hike, Nature Study, Hunt",Camping, ,"Hunters, footing, cliffs",Camping permit-DOFAW,7103.90602755,Manana Trail,23312.0305101219
28,528,OA 13 024,Y,Oahu,13,Honolulu,1981,1.5,100,Foot,Judd Memorial Loop,Pauoa Flats Trail,Easy,Mild,"Foot, Bicycle","Hike, Nature Study",None,None,None,Honolulu Mauka Complex,2486.78881946,Nuuanu Trail,8160.41494620677
29,529,OA 13 028,Y,Oahu,13,Honolulu,pre1900,0.75,500,Foot,Manoa Cliffs Trail,Puu Konahuanui Trail,Easy,"Mild, Wet","Foot, Bicycle","Hike, Nature Study",None,None,None,None,1161.24133167,Pauoa Flats Trail,3810.61294780302
30,530,OA 13 030,Y,Oahu,13,Honolulu,Unknown,3,500,2-wheel drive,Round Top Drive,Tantalus Drive,Easy,"Mild, Wet","Foot, Bicycle","Hike, Nature Study",Parking,None,Footing,Makiki Tantalus complex,4605.13099668,Manoa Cliff Trail,15111.7553265102
31,531,OA 13 027,Y,Oahu,13,Honolulu,Unknown,2,500,2-wheel drive,Tantalus Drive,"Pauoa Flats, Nuuanu Lookout",Easy,Wet,"Foot, Bicycle","Hike, Nature Study",parking,None,Footing,"Makiki-Tantalus cplx, Mtn bike problems",1349.36566666,Puu Ohia Trail,4427.9480547578
32,532,OA 13 026,Y,Oahu,13,Honolulu,1979,0.75,600,2-wheel drive,Tantalus Drive,Makiki Valley Trail,Easy,Mild,"Foot, Bicycle","Hike, Nature Study",None,None,Footing,Makiki-Tantalus complex,850.22539507,Nahuina Trail,2790.02428682478
33,533,OA 13 049,Y,Oahu,13,Honolulu,Unknown,0,100, ,Tantalus Drive,Same as start,Easy,Wet,Foot,"Hike, Nature Study",None,None,None,None,287.8892648,Tantalus Arboretum Trail,944.713095507252
34,534,OA 13 034,Y,Oahu,13,Honolulu,Unknown,0.69999999,500,2-wheel drive,"DOFAW Baseyard, Makiki Forest Area","Ualakaa, Moleka, Makiki Valley Trls",Easy,Mild,"Foot, Bicycle","Hike, Nature Study","Parking, toilet, potable water",None,Footing,Makiki-Tantalus complex,1220.05058328,Maunalaha Trail,4003.61004932941
35,535,OA 13 032,Y,Oahu,13,Honolulu,Unknown,1.10000002,200,2-wheel drive,Tantalus Drive,East side of Round Top Drive,Easy,Mild,"Foot, Bicycle","Hike, Nature Study",None,None,Footing,"Makiki-Tantalus cplx, Maint by Operation",2040.71868692,Makiki Valley Trail,6695.98271529204
36,536,OA 13 033,Y,Oahu,13,Honolulu,1980,0.52999997,400,2-wheel drive,.1 mile past Ualakaa State Park,Makiki Valley Trail,Easy,Mild,"Foot, Bicycle","Hike, Nature Study",None,None,Footing,"Makiki-Tantalus cplx, Maint by Operation",890.31863579,Ualakaa Trail,2921.58933878589
37,541,OA 15 002,Y,Oahu,15,Koolaupoko,Unknown,1,400,2-wheel drive,Kumuhau Rd.,Aniani Nui Ridge,Moderate,Mild,"Foot, Horse","Hike, Nature Study",None,None,Footing,Maunawili section under construction,1324.245182,Maunawili-Waimanalo Access Road,4345.38727073767
38,542,OA 15 090,Y,Oahu,15,Koolaupoko,1993,0,0,2WD,Mahiku Place,Maunawili-Waimanalo Rd.,Easy,Mild,"Foot, Bicycle, Horse",None,None,None,None,Maint by Hawaii Equestr. Trail Assn.,3443.56610446,Maunawili Ditch Trail,11299.7356634567
39,543,OA 13 038,Y,Oahu,13,Honolulu,Unknown,1,1000,2-wheel drive,"End Alani Ln., Kolowalu Picnic Area",Waahila Ridge Trail,Moderate,Mild,Foot,"Hike, Nature Study","Picnic, shelters, fire pits",None,Footing,"Steep Trail, Maint by Operations",1645.22854121,Kolowalu Trail,5398.79262479829
40,544,OA 13 037,Y,Oahu,13,Honolulu,Unknown,3,0,2-wheel drive,Kolowalu Picnic Area,Manoa Falls Trail,Moderate,Wet,"Foot, Bicycle","Hike, Nature Study","Picnic, shelters, fire pits",Private Access,Footing,Proposed trail-need easments,1086.64775924,Puu Pia Trail,3565.81791272312
41,545,OA 13 040,Y,Oahu,13,Honolulu,Unknown,2.4000001,500,Bus,Waahila State Park,Kolowalu Trail,Moderate,Mild,Foot,"Hike, Nature Study","Parking, toilets, potable water, picnic, shelters",Time,"Cliffs, footing","Open 7-6:45, 7-7:45 summer",2343.51050004,Waahila Ridge Trail,7690.19665109427
42,548,OA 15 015,Y,Oahu,15,Honolulu,Unknown,1.5,300,2-wheel drive,End of Kalaau Road,Trail ends .4 past FR boundary,Easy,Mild,"Foot, Bicycle","Hike, Nature Study, Hunt",None,None,"Footing, floods, hunters",Rough trail follows stream to  falls,956.55047705,Kuliouou Valley Trail,3138.84413319839
43,549,OA 15 016,Y,Oahu,15,Honolulu,Unknown,4,2000,2-wheel drive,Kuliouou Valley Trail,Koolau Ridge Summit,Difficult,Mild,Foot,"Hike, Nature study",None,None,"Floods, cliffs, footing",Trail under construction,2967.33673656,Kuliouou Ridge Trail (Koko Head),9737.0307453697
44,553,OA 13 088,Y,Oahu,13 15,Koolaupoko,1991,0,500,Bus,Nuuanu Pali Lookout,Waimanalo,Moderate,"Mild, Wet","Foot, Bicycle, Horse","Hike, Nature Study",None,None,Cliffs, ,10986.9445236,Maunawili Trail,36053.298104129
45,560,OA 13 031,Y,Oahu,13,Honolulu,1979,0.75,300,2-Wheel drive,Round Top Drive,Makiki Valley Trail,Easy,Mild,"Foot, Bicycle","Hike, Nature Study",None,None,Footing,"Makiki-Tantalus cplx, Maint by Operation",980.33982325,Moleka Trail,3216.99002113737
