zone_id,h3_cell,resolution,island,version,data_source,provenance
TRL_1,88464876bbfffff,8,oahu,2026.01,Parks Recreation trails midpoint 2026,Midpoint res8 from trail objectid 1 linestring
TRL_2,8846482e43fffff,8,oahu,2026.01,Parks Recreation trails midpoint 2026,Midpoint res8 from trail objectid 2 linestring
TRL_3,8846482e45fffff,8,oahu,2026.01,Parks Recreation trails midpoint 2026,Midpoint res8 from trail objectid 3 linestring
TRL_4,88464958ddfffff,8,oahu,2026.01,Parks Recreation trails midpoint 2026,Midpoint res8 from trail objectid 4 linestring
TRL_5,88464820d9fffff,8,oahu,2026.01,Parks Recreation trails midpoint 2026,Midpoint res8 from trail objectid 5 linestring
TRL_6,8846495985fffff,8,oahu,2026.01,Parks Recreation trails midpoint 2026,Midpoint res8 from trail objectid 6 linestring
TRL_7,8846494a69fffff,8,oahu,2026.01,Parks Recreation trails midpoint 2026,Midpoint res8 from trail objectid 7 linestring
TRL_8,8846494a65fffff,8,oahu,2026.01,Parks Recreation trails midpoint 2026,Midpoint res8 from trail objectid 8 linestring
TRL_9,88464820d9fffff,8,oahu,2026.01,Parks Recreation trails midpoint 2026,Midpoint res8 from trail objectid 9 linestring
TRL_10,8846482e03fffff,8,oahu,2026.01,Parks Recreation trails midpoint 2026,Midpoint res8 from trail objectid 10 linestring
TRL_11,8846494a0dfffff,8,oahu,2026.01,Parks Recreation trails midpoint 2026,Midpoint res8 from trail objectid 11 linestring
TRL_12,88464876d7fffff,8,oahu,2026.01,Parks Recreation trails midpoint 2026,Midpoint res8 from trail objectid 12 linestring
TRL_13,88464959e5fffff,8,oahu,2026.01,Parks Recreation trails midpoint 2026,Midpoint res8 from trail objectid 13 linestring
TRL_14,88464959e3fffff,8,oahu,2026.01,Parks Recreation trails midpoint 2026,Midpoint res8 from trail objectid 14 linestring
TRL_15,88464b9699fffff,8,oahu,2026.01,Parks Recreation trails midpoint 2026,Midpoint res8 from trail objectid 15 linestring
TRL_16,88464959d7fffff,8,oahu,2026.01,Parks Recreation trails midpoint 2026,Midpoint res8 from trail objectid 16 linestring
TRL_17,88464959ddfffff,8,oahu,2026.01,Parks Recreation trails midpoint 2026,Midpoint res8 from trail objectid 17 linestring
TRL_18,8846482cedfffff,8,oahu,2026.01,Parks Recreation trails midpoint 2026,Midpoint res8 from trail objectid 18 linestring
TRL_19,8846482cc5fffff,8,oahu,2026.01,Parks Recreation trails midpoint 2026,Midpoint res8 from trail objectid 19 linestring
TRL_20,8846487687fffff,8,oahu,2026.01,Parks Recreation trails midpoint 2026,Midpoint res8 from trail objectid 20 linestring
TRL_21,884648769dfffff,8,oahu,2026.01,Parks Recreation trails midpoint 2026,Midpoint res8 from trail objectid 21 linestring
TRL_22,8846482b0dfffff,8,oahu,2026.01,Parks Recreation trails midpoint 2026,Midpoint res8 from trail objectid 22 linestring
TRL_23,8846482b41fffff,8,oahu,2026.01,Parks Recreation trails midpoint 2026,Midpoint res8 from trail objectid 23 linestring
TRL_24,8846482319fffff,8,oahu,2026.01,Parks Recreation trails midpoint 2026,Midpoint res8 from trail objectid 24 linestring
TRL_25,88464822b1fffff,8,oahu,2026.01,Parks Recreation trails midpoint 2026,Midpoint res8 from trail objectid 25 linestring
TRL_26,8846482c31fffff,8,oahu,2026.01,Parks Recreation trails midpoint 2026,Midpoint res8 from trail objectid 26 linestring
