zone_id,h3_cell,resolution,island,version,data_source,provenance
WET_1,88464b9285fffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 1 polygon
WET_2,88464b9285fffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 2 polygon
WET_3,88464b9285fffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 3 polygon
WET_4,88464b928dfffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 4 polygon
WET_5,88464b9285fffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 5 polygon
WET_6,88464b91cbfffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 6 polygon
WET_7,88464b91ddfffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 7 polygon
WET_8,88464b91ddfffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 8 polygon
WET_9,88464b91ddfffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 9 polygon
WET_10,88464b91ddfffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 10 polygon
WET_11,88464b908dfffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 11 polygon
WET_12,88464b908dfffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 12 polygon
WET_13,88464b908dfffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 13 polygon
WET_14,88464b908dfffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 14 polygon
WET_15,88464b91ddfffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 15 polygon
WET_16,88464b91cbfffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 16 polygon
WET_17,88464b91ddfffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 17 polygon
WET_18,88464b91ddfffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 18 polygon
WET_19,88464b91ddfffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 19 polygon
WET_20,88464b90e7fffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 20 polygon
WET_21,88464b90e3fffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 21 polygon
WET_22,88464b908dfffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 22 polygon
WET_23,88464b91ddfffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 23 polygon
WET_24,88464b91ddfffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 24 polygon
WET_25,88464b91ddfffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 25 polygon
WET_26,88464b90e3fffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 26 polygon
WET_27,88464b90e3fffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 27 polygon
WET_28,88464b908dfffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 28 polygon
WET_29,88464b908dfffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 29 polygon
WET_30,88464b9089fffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 30 polygon
WET_31,88464b91ddfffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 31 polygon
WET_32,88464b91ddfffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 32 polygon
WET_33,88464b90e3fffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 33 polygon
WET_34,88464b908dfffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 34 polygon
WET_35,88464b9089fffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 35 polygon
WET_36,88464b90e3fffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 36 polygon
WET_37,88464b9055fffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 37 polygon
WET_38,88464b9027fffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 38 polygon
WET_39,88464b90c1fffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 39 polygon
WET_40,88464b92a7fffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 40 polygon
WET_41,88464b92e3fffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 41 polygon
WET_42,88464b928dfffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 42 polygon
WET_43,88464b9025fffff,8,oahu,2026.02,NWI wetland centroid 2026,Centroid res8 from NWI wetland objectid 43 polygon
