objectid,fid_hi_wetlands,attribute,acres,wetland_type,status
1,65,E1UBL,0.57751621,"Estuarine and Marine Deepwater",Digital
2,66,E1UBL,0.09296205,"Estuarine and Marine Deepwater",Digital
3,67,E1UBL,0.21371251,"Estuarine and Marine Deepwater",Digital
4,68,E1UBL,0.95037697,"Estuarine and Marine Deepwater",Digital
5,69,E2EM1N,0.7057039,"Estuarine and Marine Wetland",Digital
6,70,E2USNx,0.52549388,"Estuarine and Marine Wetland",Digital
7,71,M2RS/ABN,0.00969197,"Estuarine and Marine Wetland",Digital
8,72,M2RS/ABN,0.1768495,"Estuarine and Marine Wetland",Digital
9,73,M2RS/ABN,0.27435996,"Estuarine and Marine Wetland",Digital
10,74,M2RS/ABN,0.61064792,"Estuarine and Marine Wetland",Digital
11,75,M2RSN,0.38978766,"Estuarine and Marine Wetland",Digital
12,76,M2RSN,0.17507992,"Estuarine and Marine Wetland",Digital
13,77,M2RSN,0.10047777,"Estuarine and Marine Wetland",Digital
14,78,M2RSN,0.31105677,"Estuarine and Marine Wetland",Digital
15,79,M2RSP,0.13596104,"Estuarine and Marine Wetland",Digital
16,80,M2RSP,0.4361919,"Estuarine and Marine Wetland",Digital
17,81,M2RSP,0.06057859,"Estuarine and Marine Wetland",Digital
18,82,M2RSP,0.0527092,"Estuarine and Marine Wetland",Digital
19,83,M2RSP,0.2186719,"Estuarine and Marine Wetland",Digital
20,84,M2RSP,0.17279474,"Estuarine and Marine Wetland",Digital
21,85,M2RSP,0.27626217,"Estuarine and Marine Wetland",Digital
22,86,M2RSP,0.60738123,"Estuarine and Marine Wetland",Digital
23,87,M2USN,0.15670187,"Estuarine and Marine Wetland",Digital
24,88,M2USN,0.27401644,"Estuarine and Marine Wetland",Digital
25,89,M2USN,1.74526764,"Estuarine and Marine Wetland",Digital
26,90,M2USN,1.51297516,"Estuarine and Marine Wetland",Digital
27,91,M2USN,0.10260138,"Estuarine and Marine Wetland",Digital
28,92,M2USN,0.78883014,"Estuarine and Marine Wetland",Digital
29,93,M2USN,0.17051294,"Estuarine and Marine Wetland",Digital
30,94,M2USN,0.4646212,"Estuarine and Marine Wetland",Digital
31,95,M2USP,0.59296178,"Estuarine and Marine Wetland",Digital
32,96,M2USP,0.35819761,"Estuarine and Marine Wetland",Digital
33,97,M2USP,0.76040407,"Estuarine and Marine Wetland",Digital
34,98,M2USP,0.35828679,"Estuarine and Marine Wetland",Digital
35,99,M2USP,0.68530999,"Estuarine and Marine Wetland",Digital
36,100,PEM1/USC,4.14965901,"Freshwater Emergent Wetland",Digital
37,101,PEM1/USCx,0.06481601,"Freshwater Emergent Wetland",Digital
38,102,PEM1Ax,0.2572454,"Freshwater Emergent Wetland",Digital
39,103,PEM1Ax,0.47605688,"Freshwater Emergent Wetland",Digital
40,104,PEM1C,0.32363276,"Freshwater Emergent Wetland",Digital
41,105,PEM1C,0.05777905,"Freshwater Emergent Wetland",Digital
42,106,PEM1C,1.21249402,"Freshwater Emergent Wetland",Digital
43,107,PEM1Cx,2.41841467,"Freshwater Emergent Wetland",Digital
44,108,PEM1Cx,0.18535071,"Freshwater Emergent Wetland",Digital
45,109,PEM1Cx,0.09975512,"Freshwater Emergent Wetland",Digital
46,110,PEM1Cx,0.03288913,"Freshwater Emergent Wetland",Digital
47,111,PEM1Cx,0.10780867,"Freshwater Emergent Wetland",Digital
48,112,PEM1Cx,0.85077717,"Freshwater Emergent Wetland",Digital
49,113,PEM1Cx,0.31643947,"Freshwater Emergent Wetland",Digital
50,114,PEM1Cx,0.52683716,"Freshwater Emergent Wetland",Digital
51,115,PEM1Cx,1.00394712,"Freshwater Emergent Wetland",Digital
52,116,PEM1Cx,0.08144346,"Freshwater Emergent Wetland",Digital
53,117,PEM1Cx,0.28705596,"Freshwater Emergent Wetland",Digital
54,118,PEM1Cx,0.05471757,"Freshwater Emergent Wetland",Digital
55,119,PEM1Fh,0.32840992,"Freshwater Emergent Wetland",Digital
56,120,PEM1Fx,0.00437269,"Freshwater Emergent Wetland",Digital
57,121,PEM1Fx,0.01977418,"Freshwater Emergent Wetland",Digital
58,122,PEM1Fx,0.05929458,"Freshwater Emergent Wetland",Digital
59,123,PEM1Fx,0.01678856,"Freshwater Emergent Wetland",Digital
60,124,PEM1Fx,0.04858424,"Freshwater Emergent Wetland",Digital
61,125,PEM1Fx,0.15459962,"Freshwater Emergent Wetland",Digital
62,126,PEM1Fx,0.03754756,"Freshwater Emergent Wetland",Digital
63,127,PEM1Fx,0.02049775,"Freshwater Emergent Wetland",Digital
64,128,PEM1Fx,0.00771097,"Freshwater Emergent Wetland",Digital
65,129,PEM1Fx,0.0222615,"Freshwater Emergent Wetland",Digital
66,130,PEM1Fx,0.04783261,"Freshwater Emergent Wetland",Digital
67,131,PEM1Fx,0.01862989,"Freshwater Emergent Wetland",Digital
68,132,PEM1Fx,0.57191746,"Freshwater Emergent Wetland",Digital
69,133,PFO1Cx,0.1582919,"Freshwater Forested/Shrub Wetland",Digital
70,134,PFO1Cx,0.31687052,"Freshwater Forested/Shrub Wetland",Digital
71,135,PFO1Cx,0.07367797,"Freshwater Forested/Shrub Wetland",Digital
72,136,PFO3C,0.3522963,"Freshwater Forested/Shrub Wetland",Digital
73,137,PFO3Cx,1.01215267,"Freshwater Forested/Shrub Wetland",Digital
74,138,PFO3Cx,0.70849893,"Freshwater Forested/Shrub Wetland",Digital
75,139,PSS1Cx,0.18352853,"Freshwater Forested/Shrub Wetland",Digital
76,140,PSS1Cx,0.64641238,"Freshwater Forested/Shrub Wetland",Digital
77,141,PSS3A,0.0722954,"Freshwater Forested/Shrub Wetland",Digital
78,142,PSS3A,1.27136981,"Freshwater Forested/Shrub Wetland",Digital
79,143,PSS3A,0.88445622,"Freshwater Forested/Shrub Wetland",Digital
80,144,PSS3A,1.96837221,"Freshwater Forested/Shrub Wetland",Digital
81,145,PSS3A,6.98124961,"Freshwater Forested/Shrub Wetland",Digital
82,146,PSS3A,4.53825793,"Freshwater Forested/Shrub Wetland",Digital
83,147,PSS3A,4.34763417,"Freshwater Forested/Shrub Wetland",Digital
84,148,PSS3Ah,1.78346544,"Freshwater Forested/Shrub Wetland",Digital
85,149,PSS3Ax,1.2545968,"Freshwater Forested/Shrub Wetland",Digital
86,150,PSS3Ax,1.20997815,"Freshwater Forested/Shrub Wetland",Digital
87,151,PSS3C,0.23262068,"Freshwater Forested/Shrub Wetland",Digital
88,152,PSS3C,0.52801654,"Freshwater Forested/Shrub Wetland",Digital
89,153,PSS3C,0.81590267,"Freshwater Forested/Shrub Wetland",Digital
90,154,PSS3C,1.90769368,"Freshwater Forested/Shrub Wetland",Digital
91,155,PSS3Cx,0.40843401,"Freshwater Forested/Shrub Wetland",Digital
92,156,PSS3Cx,9.18076799,"Freshwater Forested/Shrub Wetland",Digital
93,157,PSS3Cx,3.54351792,"Freshwater Forested/Shrub Wetland",Digital
94,158,PUBFx,0.33793223,"Freshwater Pond",Digital
95,159,PUBHh,3.5202172,"Freshwater Pond",Digital
96,160,PUBHx,0.64054865,"Freshwater Pond",Digital
97,161,PUBHx,9.90086062,"Freshwater Pond",Digital
98,162,PUBHx,0.13339076,"Freshwater Pond",Digital
99,163,PUBHx,0.04900337,"Freshwater Pond",Digital
100,164,PUBHx,0.16604127,"Freshwater Pond",Digital
101,165,PUBHx,0.09040138,"Freshwater Pond",Digital
102,166,PUBHx,0.13950586,"Freshwater Pond",Digital
103,167,PUBHx,0.058195,"Freshwater Pond",Digital
104,168,PUBHx,0.02808098,"Freshwater Pond",Digital
105,169,PUBHx,0.25557539,"Freshwater Pond",Digital
106,170,PUBHx,0.15257139,"Freshwater Pond",Digital
107,171,PUBHx,0.18779892,"Freshwater Pond",Digital
108,172,PUBHx,0.43251101,"Freshwater Pond",Digital
109,173,PUBHx,0.29398925,"Freshwater Pond",Digital
110,174,PUBHx,3.23562601,"Freshwater Pond",Digital
111,175,PUBHx,0.98558212,"Freshwater Pond",Digital
112,176,PUBHx,0.50810963,"Freshwater Pond",Digital
113,177,PUBHx,0.26121819,"Freshwater Pond",Digital
114,178,PUBHx,1.68681416,"Freshwater Pond",Digital
115,179,PUBHx,3.81256909,"Freshwater Pond",Digital
116,180,PUBHx,1.32556251,"Freshwater Pond",Digital
117,181,PUBHx,8.56341265,"Freshwater Pond",Digital
118,182,PUBHx,6.45488601,"Freshwater Pond",Digital
119,183,PUBHx,3.82461368,"Freshwater Pond",Digital
120,184,PUBHx,0.03832249,"Freshwater Pond",Digital
121,185,PUBHx,0.10507258,"Freshwater Pond",Digital
122,186,PUBHx,0.29328473,"Freshwater Pond",Digital
123,187,PUBHx,0.19447547,"Freshwater Pond",Digital
